scenario,cases,draws_per_case,median_interval_width,mean_interval_width,threshold_crossings,mean_class_flip_fraction
photon_only,10,10,0.283161,0.291215,3,0.060000
thickness_only,10,10,0.128598,0.130632,0,0.000000
beam_center_5px_only,10,10,0.211970,0.206536,0,0.000000
beam_center_10px_only,10,10,0.369632,0.360944,3,0.040000
detector_distance_5mm_only,10,10,0.184144,0.146632,0,0.000000
detector_distance_10mm_only,10,10,0.277331,0.236636,0,0.000000
joint_5px_5mm,10,10,0.378224,0.366575,2,0.040000
joint_10px_10mm,10,10,0.444985,0.429132,2,0.060000
joint_without_photon_5px_5mm,10,10,0.264756,0.237989,0,0.000000
joint_without_thickness_5px_5mm,10,10,0.393356,0.369394,1,0.020000
joint_without_beam_center_5mm,10,10,0.364265,0.349065,2,0.020000
joint_without_detector_distance_5px,10,10,0.393355,0.358605,1,0.040000
