mode,model,roc_auc,sensitivity,specificity,roc_auc_mean,sensitivity_mean,specificity_mean
70/30 x50,M0,0.574 +/- 0.061,0.738 +/- 0.122,0.359 +/- 0.141,0.5738206896551724,0.7384000000000001,0.35862068965517246
70/30 x50,M1,0.582 +/- 0.059,0.658 +/- 0.103,0.455 +/- 0.112,0.5821241379310345,0.6584,0.45517241379310347
70/30 x50,M2,0.623 +/- 0.059,0.702 +/- 0.108,0.470 +/- 0.111,0.6230344827586207,0.7023999999999999,0.4703448275862068
stratified 5-fold,M0,0.614 +/- 0.086,0.751 +/- 0.154,0.366 +/- 0.078,0.6136319659442724,0.751470588235294,0.36578947368421055
stratified 5-fold,M1,0.630 +/- 0.094,0.693 +/- 0.144,0.470 +/- 0.104,0.6298239164086687,0.6926470588235294,0.47000000000000003
stratified 5-fold,M2,0.675 +/- 0.084,0.764 +/- 0.110,0.449 +/- 0.135,0.6751006191950463,0.7639705882352941,0.44947368421052625
LOOVM,M0,0.593 +/- 0.000,0.833 +/- 0.000,0.292 +/- 0.000,0.5927579365079365,0.8333333333333334,0.2916666666666667
LOOVM,M1,0.599 +/- 0.000,0.750 +/- 0.000,0.385 +/- 0.000,0.5985863095238096,0.75,0.3854166666666667
LOOVM,M2,0.648 +/- 0.000,0.810 +/- 0.000,0.344 +/- 0.000,0.6478174603174603,0.8095238095238095,0.34375
train-all,M0,0.851 +/- 0.000,0.952 +/- 0.000,0.490 +/- 0.000,0.8513144841269841,0.9523809523809523,0.4895833333333333
train-all,M1,0.895 +/- 0.000,0.952 +/- 0.000,0.573 +/- 0.000,0.8948412698412699,0.9523809523809523,0.5729166666666666
train-all,M2,0.904 +/- 0.000,0.964 +/- 0.000,0.542 +/- 0.000,0.9040178571428572,0.9642857142857143,0.5416666666666666
