mode,model,ROC AUC,sensitivity@0.95,specificity@0.95,PPV@0.95,NPV@0.95
70/30 x50,M0,0.574 +/- 0.061,0.738 +/- 0.122,0.359 +/- 0.141,0.501,0.619
70/30 x50,M1,0.554 +/- 0.062,0.710 +/- 0.114,0.354 +/- 0.138,0.490,0.584
70/30 x50,M2,0.615 +/- 0.066,0.743 +/- 0.124,0.395 +/- 0.123,0.516,0.654
stratified 5-fold,M0,0.614 +/- 0.086,0.751 +/- 0.154,0.366 +/- 0.078,0.505,0.654
stratified 5-fold,M1,0.599 +/- 0.099,0.728 +/- 0.150,0.407 +/- 0.055,0.513,0.653
stratified 5-fold,M2,0.660 +/- 0.092,0.811 +/- 0.107,0.386 +/- 0.094,0.537,0.711
LOOVM,M0,0.593 +/- 0.000,0.833 +/- 0.000,0.292 +/- 0.000,0.507,0.667
LOOVM,M1,0.576 +/- 0.000,0.738 +/- 0.000,0.292 +/- 0.000,0.477,0.560
LOOVM,M2,0.639 +/- 0.000,0.821 +/- 0.000,0.427 +/- 0.000,0.556,0.732
train-all,M0,0.851 +/- 0.000,0.952 +/- 0.000,0.490 +/- 0.000,0.620,0.922
train-all,M1,0.858 +/- 0.000,0.952 +/- 0.000,0.562 +/- 0.000,0.656,0.931
train-all,M2,0.871 +/- 0.000,0.952 +/- 0.000,0.552 +/- 0.000,0.650,0.930
