mode_label,model_name,roc_auc,sensitivity,specificity,roc_auc_mean,sensitivity_target_mean,specificity_target_mean
70/30 x50,M0,0.574 +/- 0.061,0.738 +/- 0.122,0.359 +/- 0.141,0.5738206896551724,0.7384000000000001,0.35862068965517246
70/30 x50,M0Q,0.574 +/- 0.065,0.714 +/- 0.116,0.383 +/- 0.137,0.5743448275862069,0.7143999999999999,0.38275862068965516
70/30 x50,M1,0.582 +/- 0.059,0.658 +/- 0.103,0.455 +/- 0.112,0.5821241379310345,0.6584,0.45517241379310347
70/30 x50,M1Q,0.576 +/- 0.063,0.644 +/- 0.116,0.471 +/- 0.120,0.5758896551724139,0.644,0.4710344827586208
70/30 x50,M2,0.623 +/- 0.059,0.702 +/- 0.108,0.470 +/- 0.111,0.6230344827586207,0.7023999999999999,0.4703448275862068
70/30 x50,M2Q,0.616 +/- 0.061,0.692 +/- 0.124,0.484 +/- 0.119,0.615751724137931,0.6919999999999998,0.4841379310344827
stratified 5-fold,M0,0.614 +/- 0.086,0.751 +/- 0.154,0.366 +/- 0.078,0.6136319659442724,0.751470588235294,0.36578947368421055
stratified 5-fold,M0Q,0.613 +/- 0.084,0.751 +/- 0.130,0.376 +/- 0.094,0.6130069659442723,0.7514705882352941,0.37631578947368416
stratified 5-fold,M1,0.630 +/- 0.094,0.693 +/- 0.144,0.470 +/- 0.104,0.6298239164086687,0.6926470588235294,0.47000000000000003
stratified 5-fold,M1Q,0.622 +/- 0.093,0.716 +/- 0.144,0.417 +/- 0.091,0.6217743808049535,0.7161764705882353,0.4173684210526316
stratified 5-fold,M2,0.675 +/- 0.084,0.764 +/- 0.110,0.449 +/- 0.135,0.6751006191950463,0.7639705882352941,0.44947368421052625
stratified 5-fold,M2Q,0.679 +/- 0.095,0.776 +/- 0.140,0.397 +/- 0.059,0.6788564241486068,0.775735294117647,0.3968421052631579
LOOVM,M0,0.593,0.833,0.292,0.5927579365079365,0.8333333333333334,0.2916666666666667
LOOVM,M0Q,0.583,0.821,0.323,0.5834573412698413,0.8214285714285714,0.3229166666666667
LOOVM,M1,0.599,0.750,0.385,0.5985863095238096,0.75,0.3854166666666667
LOOVM,M1Q,0.588,0.690,0.438,0.5882936507936508,0.6904761904761905,0.4375
LOOVM,M2,0.648,0.810,0.344,0.6478174603174603,0.8095238095238095,0.34375
LOOVM,M2Q,0.633,0.798,0.375,0.6334325396825397,0.7976190476190477,0.375
train-all,M0,0.851,0.952,0.490,0.8513144841269841,0.9523809523809523,0.4895833333333333
train-all,M0Q,0.862,0.952,0.510,0.8622271825396826,0.9523809523809523,0.5104166666666666
train-all,M1,0.895,0.952,0.573,0.8948412698412699,0.9523809523809523,0.5729166666666666
train-all,M1Q,0.901,0.952,0.667,0.9010416666666666,0.9523809523809523,0.6666666666666666
train-all,M2,0.904,0.964,0.542,0.9040178571428572,0.9642857142857143,0.5416666666666666
train-all,M2Q,0.909,0.952,0.552,0.9094742063492064,0.9523809523809523,0.5520833333333334
