feature_set,feature,auc_raw,auc_oriented,direction
ka,meanrms1,0.4108669108669109,0.589133089133089,-1
ka,weightedrms2,0.4246031746031746,0.5753968253968254,-1
current,contralateral_within_cosine_distance_mean,0.4336080586080586,0.5663919413919414,-1
ka,sigma_contralateral2,0.4346764346764347,0.5653235653235653,-1
ka,meanrms2,0.4455128205128205,0.5544871794871795,-1
current,between_breasts_cosine_distance_mean,0.4461233211233211,0.5538766788766789,-1
ka,peak14_intensity,0.552960927960928,0.552960927960928,1
current,target_measurements,0.5515873015873016,0.5515873015873016,1
ka,cosine_distance_full_q2,0.4545177045177045,0.5454822954822955,-1
ka,mean_peak_value_raw,0.5444139194139194,0.5444139194139194,1
ka,sigma_target1,0.5323565323565324,0.5323565323565324,1
ka,sigma_contralateral1,0.4696275946275946,0.5303724053724054,-1
ka,mahalanobis2,0.4735958485958486,0.5264041514041514,-1
ka,mahalanobis1,0.47619047619047616,0.5238095238095238,-1
current,target_within_cosine_distance_mean,0.5202991452991452,0.5202991452991452,1
current,symmetry_cosine_score,0.5177045177045176,0.5177045177045176,1
ka,wasserstein_distance_muTC,0.48611111111111105,0.513888888888889,-1
ka,weightedrms1,0.49343711843711846,0.5065628815628815,-1
ka,sigma_target2,0.5047313797313797,0.5047313797313797,1
current,contralateral_measurements,0.4977106227106228,0.5022893772893773,-1
ka,wasserstein_distance_full_q2,0.5007631257631258,0.5007631257631258,1
