feature_set,mode,roc_auc_mean,sensitivity_mean,specificity_mean,roc_auc_std,sensitivity_std,specificity_std
M0_profile_only,70/30 x50,0.8113000000000001,0.9425,0.4448,0.04484453391688025,0.046315644105300854,0.09038229915199104
M0_profile_only,stratified 5-fold,0.826547181372549,0.9216666666666666,0.4992647058823529,0.06588921433737281,0.09822734400924782,0.0837202666322958
M0_profile_only,train-all,0.8278388278388278,0.9615384615384616,0.44047619047619047,,,
M1_current,70/30 x50,0.8061,0.9299999999999998,0.45199999999999996,0.04394770882663977,0.056174331821175726,0.10376897416858279
M1_current,stratified 5-fold,0.8325765931372547,0.9225000000000001,0.5220588235294118,0.06276565783379334,0.04841946348777983,0.09416359172695365
M1_current,train-all,0.8495115995115996,0.9615384615384616,0.5,,,
M1_KA,70/30 x50,0.8050666666666666,0.8866666666666666,0.5104,0.042360830964465274,0.05835713800003865,0.10041832502088452
M1_KA,stratified 5-fold,0.8212591911764706,0.8699999999999999,0.5477941176470589,0.06010250500442635,0.0844261676127596,0.07816283685834302
M1_KA,train-all,0.8782051282051282,0.9615384615384616,0.5476190476190477,,,
M1_current_plus_KA,70/30 x50,0.8039333333333335,0.8883333333333333,0.5256000000000001,0.038978284552641206,0.06741249472052228,0.10369493719560274
M1_current_plus_KA,stratified 5-fold,0.8214460784313726,0.8566666666666667,0.5941176470588235,0.06044666260107203,0.10716031603785674,0.0539126552347746
M1_current_plus_KA,train-all,0.8881257631257632,0.9615384615384616,0.5714285714285714,,,
