feature_set,model,mode,roc_auc_mean,sensitivity_mean,specificity_mean,roc_auc_std,sensitivity_std,specificity_std
current,LR_L2,70/30 x50,0.5419666666666667,0.9583333333333335,0.1264,0.06598795344606469,1.1102230246251565e-16,0.08366026535936878
current,LR_L2,train-all,0.6272893772893773,0.9615384615384616,0.19047619047619047,,,
current,SVM_poly2,70/30 x50,0.5888,0.9583333333333335,0.1432,0.06194624910176384,1.1102230246251565e-16,0.08582400596569704
current,SVM_poly2,train-all,0.6796398046398047,0.9615384615384616,0.19047619047619047,,,
ka,LR_L2,70/30 x50,0.6100333333333333,0.9583333333333335,0.22160000000000005,0.06032641765152864,1.1102230246251565e-16,0.09506545113762413
ka,LR_L2,train-all,0.7193223443223443,0.9615384615384616,0.34523809523809523,,,
ka,SVM_poly2,70/30 x50,0.5789333333333334,0.9583333333333335,0.1936,0.07545621246789425,1.1102230246251565e-16,0.10773597356500754
ka,SVM_poly2,train-all,0.7780830280830281,0.9615384615384616,0.40476190476190477,,,
current+sk,LR_L2,70/30 x50,0.5881666666666667,0.9583333333333335,0.20079999999999998,0.061320877358367935,1.1102230246251565e-16,0.10039601585720422
current+sk,LR_L2,train-all,0.731074481074481,0.9615384615384616,0.35714285714285715,,,
current+sk,SVM_poly2,70/30 x50,0.5669666666666667,0.9583333333333335,0.1936,0.08045681381268394,1.1102230246251565e-16,0.08442179813294669
current+sk,SVM_poly2,train-all,0.7800671550671551,0.9615384615384616,0.34523809523809523,,,
