model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,specificity_target_mean,sensitivity_youden_mean,specificity_youden_mean,mean_auc_curve
M0_one_to_many_only,0.5265048638405136,0.10680876619887957,0.48518016850953105,0.9475194346193134,0.06580176612869394,0.5816472017572772,0.4693011489508332,0.5265911367449797
M1_one_to_many_plus_symmetry,0.7062894422395003,0.06642552259019464,0.610096111172464,0.9219504955492301,0.3441849534737548,0.7640926396930571,0.5807575829156957,0.7063963839809179
M2_plus_quality,0.6754550086498432,0.07377041586291208,0.5823600766993351,0.9093202019298061,0.3626761197026648,0.7314648399565616,0.5587237536566407,0.6758234000264105
M3_plus_age_bmi,0.750065334253555,0.06800441960403232,0.6476835219085554,0.9078494752992329,0.436011922241172,0.719561484013362,0.6428573137609443,0.7500880141394702
A0_age_only,0.7025006759250191,0.071979283051629,0.6154643472421222,0.9472979595000053,0.24601169105494583,0.7760333994313668,0.5456927834891666,0.7022764356239743
A1_bmi_only,0.5,0.0,0.4250407968380062,1.0,0.0,0.0,1.0,0.5
A2_availability_only,0.7027226489548128,0.052680505655022865,0.564507625496012,1.0,0.03229101112332889,0.870773081833588,0.5253764783120808,0.7027158170249351
F0_symmetry_available_only,0.7023814335642704,0.05461564368547616,0.5611666489590987,1.0,0.0,0.8793863888164601,0.5253764783120808,0.7023663971947555
F1_bmi_available_only,0.5,0.0,0.4250407968380062,1.0,0.0,0.0,1.0,0.5
F2_replicate_available_only,0.5050670419707338,0.033172506337702204,0.43237301876745204,0.9821294466403161,0.047647494444008544,0.8321294466403162,0.1780046373011514,0.5050739324978191
F3_symmetry_plus_bmi_availability,0.7023814335642704,0.05461564368547616,0.5611666489590987,1.0,0.0,0.8793863888164601,0.5253764783120808,0.7023663971947555
T0_thickness_only,0.5855481338973187,0.048470702182707416,0.5092155458180522,0.9493210437541102,0.07933762233362689,0.6782365762630602,0.44261175187398355,0.5859956285278044
M3a_plus_age_no_bmi,0.750065334253555,0.06800441960403232,0.6476835219085554,0.9078494752992329,0.436011922241172,0.719561484013362,0.6428573137609443,0.7500880141394702
M3b_plus_bmi_no_age,0.6754550086498432,0.07377041586291208,0.5823600766993351,0.9093202019298061,0.3626761197026648,0.7314648399565616,0.5587237536566407,0.6758234000264105
