model_name,evaluation_mode,splits,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std,balanced_accuracy_target_mean,ppv_target_mean,npv_target_mean,true_positives_mean,true_negatives_mean,false_negatives_mean,false_positives_mean,threshold,mode,patients,cancer_patients,benign_patients,measurement_rows,lr1_rows,config_path
M1Q,loovm,1,0.6046441947565543,0.0,0.5475530400475409,0.7466666666666667,0.0,0.43820224719101125,0.0,0.592434456928839,0.5283018867924528,0.6724137931034483,56.0,39.0,19.0,50.0,T100,loovm,164,75,89,893,496,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t100_loovm.yaml
M1Q,repeated_stratified_shuffle,50,0.614621578099839,0.07254919995278371,0.5937848678719829,0.653913043478261,0.12203690290677449,0.52,0.10809740057454638,0.5869565217391305,0.538733088538762,0.6431835186356573,15.04,14.04,7.96,12.96,T100,patient_70_30_x50,164,75,89,893,496,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t100_patient_70_30_x50.yaml
M1Q,repeated_stratified_shuffle,50,0.6074814814814815,0.07848178735542444,0.5927224379430345,0.6293333333333334,0.12589943076387067,0.5011111111111111,0.10743358557100277,0.5652222222222222,0.5130100546990437,0.6235223865401883,9.44,9.02,5.56,8.98,T100,patient_80_20_x50,164,75,89,893,496,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t100_patient_80_20_x50.yaml
M1Q,stratified_kfold,5,0.5773420479302832,0.0742619685392938,0.5711097646615795,0.6133333333333333,0.07774602526460399,0.4718954248366013,0.082404797450847,0.5426143790849673,0.4957884908349305,0.5900000000000001,9.2,8.4,5.8,9.4,T100,stratified_5fold,164,75,89,893,496,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t100_stratified_5fold.yaml
M1Q,all_on_all,1,0.9201498127340824,0.0,0.9076445502820617,0.96,0.0,0.6179775280898876,0.0,0.7889887640449438,0.6792452830188679,0.9482758620689655,72.0,55.0,3.0,34.0,T100,train_all,164,75,89,893,496,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t100_train_all.yaml
M1Q,loovm,1,0.5882936507936508,0.0,0.5525589655230696,0.6904761904761905,0.0,0.4375,0.0,0.5639880952380952,0.5178571428571429,0.6176470588235294,58.0,42.0,26.0,54.0,T130,loovm,180,84,96,968,546,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t130_loovm.yaml
M1Q,repeated_stratified_shuffle,50,0.5758896551724139,0.0631526787424132,0.5545851191777007,0.644,0.11627553482998906,0.4710344827586208,0.11997026980109465,0.5575172413793104,0.5147139715265951,0.6111421724687822,16.1,13.66,8.9,15.34,T130,patient_70_30_x50,180,84,96,968,546,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t130_patient_70_30_x50.yaml
M1Q,repeated_stratified_shuffle,50,0.5885448916408669,0.07481057561552533,0.5816328993679485,0.7023529411764706,0.12249426227647332,0.42315789473684207,0.10203470160886428,0.5627554179566563,0.5211117234292214,0.6237099377230956,11.94,8.04,5.06,10.96,T130,patient_80_20_x50,180,84,96,968,546,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t130_patient_80_20_x50.yaml
M1Q,stratified_kfold,5,0.6217743808049535,0.093306429385711,0.609989515762028,0.7161764705882353,0.1443575434330356,0.4173684210526316,0.09054467378117005,0.5667724458204335,0.5154428341384863,0.6419017094017094,12.0,8.0,4.8,11.2,T130,stratified_5fold,180,84,96,968,546,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t130_stratified_5fold.yaml
M1Q,all_on_all,1,0.9010416666666666,0.0,0.8889998898140994,0.9523809523809523,0.0,0.6666666666666666,0.0,0.8095238095238095,0.7142857142857143,0.9411764705882353,80.0,64.0,4.0,32.0,T130,train_all,180,84,96,968,546,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t130_train_all.yaml
M1Q,loovm,1,0.625998547567175,0.0,0.5708407587997042,0.7352941176470589,0.0,0.48148148148148145,0.0,0.6083877995642701,0.5434782608695652,0.6842105263157895,50.0,39.0,18.0,42.0,T70,loovm,149,68,81,811,452,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t70_loovm.yaml
M1Q,repeated_stratified_shuffle,50,0.6204761904761905,0.07558043641283604,0.6019556106087266,0.6085714285714285,0.13068457464401306,0.5658333333333334,0.09577534477445993,0.587202380952381,0.5496904925129228,0.6300315981569947,12.78,13.58,8.22,10.42,T70,patient_70_30_x50,149,68,81,811,452,/Users/sad/dev/Aramis/config/training/model_selection_m1q_v0_1/aramis_m1q_t70_patient_70_30_x50.yaml
