feature,auc_raw,auc_oriented,direction
sk_q15_23_peak,0.6466727716727717,0.6466727716727717,1
sk_ratio_q15_23_to_q10_15_weightedrms,0.6388888888888888,0.6388888888888888,1
sk_logdiff_q15_23_minus_q10_15_weightedrms,0.6378205128205128,0.6378205128205128,1
sk_logdiff_q15_23_minus_q10_15_meanrms,0.6169108669108669,0.6169108669108669,1
sk_q10_15_cosine,0.39285714285714285,0.6071428571428572,-1
sk_q13_16_peak,0.6025641025641025,0.6025641025641025,1
sk_logdiff_q10_15_minus_q06_10_cosine,0.40064102564102566,0.5993589743589743,-1
sk_q10_15_wasserstein,0.4036935286935287,0.5963064713064713,-1
sk_q10_15_weightedrms,0.4043040293040293,0.5956959706959707,-1
sk_q10_15_meanrms,0.405982905982906,0.594017094017094,-1
sk_q13_16_cosine,0.4091880341880342,0.5908119658119658,-1
sk_logdiff_q10_15_minus_q06_10_weightedrms,0.4107142857142857,0.5892857142857143,-1
sk_logdiff_q13_16_minus_q10_15_wasserstein,0.5863858363858363,0.5863858363858363,1
sk_logdiff_q10_15_minus_q06_10_meanrms,0.4142246642246642,0.5857753357753358,-1
sk_ratio_q10_15_to_q06_10_weightedrms,0.4165140415140416,0.5834859584859584,-1
sk_logdiff_q15_23_minus_q10_15_mahalanobis,0.5825702075702076,0.5825702075702076,1
sk_ratio_q15_23_to_q10_15_mahalanobis,0.5815018315018314,0.5815018315018314,1
sk_q02_23_weightedrms,0.42032967032967034,0.5796703296703296,-1
sk_ratio_q13_16_to_q10_15_weightedrms,0.5792124542124542,0.5792124542124542,1
sk_logdiff_q10_15_minus_q06_10_wasserstein,0.42246642246642246,0.5775335775335775,-1
sk_logdiff_q13_16_minus_q10_15_cosine,0.577075702075702,0.577075702075702,1
sk_ratio_q15_23_to_q10_15_meanrms,0.5764652014652014,0.5764652014652014,1
sk_logdiff_q13_16_minus_q10_15_weightedrms,0.5753968253968254,0.5753968253968254,1
sk_logdiff_q13_16_minus_q10_15_meanrms,0.5723443223443224,0.5723443223443224,1
sk_q13_16_sigma_target,0.5709706959706959,0.5709706959706959,1
sk_logdiff_q10_15_minus_q06_10_mahalanobis,0.4293345543345543,0.5706654456654456,-1
sk_ratio_q10_15_to_q06_10_cosine,0.42933455433455436,0.5706654456654456,-1
