feature_set,model_name,mode,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,threshold_mean,n_rows,n_splits
sk_base,LR_L2,train-all,0.7304639804639805,0.0,0.665678905811198,0.9615384615384616,0.0,0.11904761904761904,0.0,0.27247036015584397,162,1
sk_base,LR_L2,70/30 x50,0.6295,0.06835954781724186,0.6039255326775356,0.9008333333333334,0.07767900474245135,0.17519999999999997,0.10052343010462786,0.28862177208684264,49,50
sk_base,LR_L2,stratified 5-fold,0.6072487745098039,0.06162440418945331,0.6204407180851408,0.8716666666666667,0.0932216593811641,0.25,0.15507560384075375,0.30444075604508936,32,5
sk_base,LR_L1,train-all,0.730006105006105,0.0,0.6672711779598783,0.9615384615384616,0.0,0.10714285714285714,0.0,0.29504809687609773,162,1
sk_base,LR_L1,70/30 x50,0.6223333333333333,0.06633500835406093,0.5984050606524286,0.9033333333333333,0.08309967241545274,0.1736,0.1057120617526685,0.3196280481280018,49,50
sk_base,LR_L1,stratified 5-fold,0.6003124999999999,0.06580485368863823,0.6160597385119082,0.86,0.0845576726264388,0.25,0.17986923354612536,0.3498728633101818,32,5
sk_base,LR_elastic,train-all,0.7297008547008547,0.0,0.6687044710968247,0.9615384615384616,0.0,0.11904761904761904,0.0,0.28098022143353074,162,1
sk_base,LR_elastic,70/30 x50,0.6275,0.06680839102321737,0.6035233346110703,0.9041666666666669,0.08260094833999587,0.17119999999999996,0.10246248093814632,0.29951728728687216,49,50
sk_base,LR_elastic,stratified 5-fold,0.5970863970588235,0.06421076336886998,0.6089285490561311,0.86,0.0845576726264388,0.23823529411764705,0.1579496656717359,0.32230553006155904,32,5
sk_base,SVM_poly2,train-all,0.7635836385836386,0.0,0.7037937272098482,0.9615384615384616,0.0,0.2619047619047619,0.0,-0.3865234773000401,162,1
sk_base,SVM_poly2,70/30 x50,0.5754,0.06083270319308337,0.5622396502079314,0.8449999999999999,0.08621678104251708,0.17520000000000002,0.08232229345687594,-0.26461719440584053,49,50
sk_base,SVM_poly2,stratified 5-fold,0.5839307598039215,0.030968227578295777,0.5634151090701989,0.8191666666666666,0.07699206308300732,0.20147058823529412,0.05800906742151771,-0.3286116762751658,32,5
sk_base,RF_depth2,train-all,0.849969474969475,0.0,0.8581080036197597,0.9615384615384616,0.0,0.40476190476190477,0.0,0.4388509233031932,162,1
sk_base,RF_depth2,70/30 x50,0.5515333333333333,0.0647446608695351,0.5872970519476755,0.7733333333333334,0.08545629162196179,0.22879999999999995,0.08391996186843748,0.4339904260189562,49,50
sk_base,RF_depth2,stratified 5-fold,0.5351133578431373,0.06711983093462695,0.5691893911328121,0.7458333333333333,0.14988421457170792,0.2036764705882353,0.13485382320578823,0.42316993598861946,32,5
sk_base,RF_depth3,train-all,0.9113247863247864,0.0,0.9109940915783643,0.9615384615384616,0.0,0.5119047619047619,0.0,0.42364888820084806,162,1
sk_base,RF_depth3,70/30 x50,0.5547,0.062079420458348716,0.5879563304088831,0.7008333333333333,0.11108367716876018,0.31439999999999996,0.09830890091949966,0.4429949163288543,49,50
sk_base,RF_depth3,stratified 5-fold,0.5365839460784313,0.07936124468154089,0.5964597637419405,0.6691666666666667,0.17821647261437737,0.39338235294117646,0.09738137135966649,0.44323640101697126,32,5
sk_ratios,LR_L2,train-all,0.8166971916971917,0.0,0.8135758615702374,0.9615384615384616,0.0,0.30952380952380953,0.0,0.27188023040313414,162,1
sk_ratios,LR_L2,70/30 x50,0.5491666666666667,0.06831890091491682,0.54952819043162,0.7491666666666668,0.1188749342796874,0.34879999999999994,0.10401230696412804,0.3219423065354066,49,50
sk_ratios,LR_L2,stratified 5-fold,0.524188112745098,0.038234245857456724,0.5395267543415277,0.7583333333333334,0.06866788024817556,0.29705882352941176,0.1276619671424159,0.33464945291464926,32,5
sk_ratios,LR_L1,train-all,0.7941086691086691,0.0,0.7807344760203392,0.9615384615384616,0.0,0.34523809523809523,0.0,0.3270826078400814,162,1
sk_ratios,LR_L1,70/30 x50,0.563,0.06812325430994746,0.5628105838118155,0.7825000000000002,0.10616091036200137,0.3152,0.08859435647940561,0.33867513039137104,49,50
sk_ratios,LR_L1,stratified 5-fold,0.5622426470588235,0.04252942560726232,0.547761002258764,0.8474999999999999,0.06200358412579426,0.26176470588235295,0.1417878916846347,0.334260407394167,32,5
sk_ratios,LR_elastic,train-all,0.8046398046398047,0.0,0.7976885244538667,0.9615384615384616,0.0,0.34523809523809523,0.0,0.2957569432914758,162,1
sk_ratios,LR_elastic,70/30 x50,0.5558666666666666,0.06590754467012441,0.5573455680264393,0.7608333333333335,0.11174437594597572,0.336,0.10150862032359617,0.3257057050188365,49,50
sk_ratios,LR_elastic,stratified 5-fold,0.531672794117647,0.043501969315682266,0.5326597784739341,0.7841666666666667,0.0813685033248943,0.27426470588235297,0.14294995131623822,0.334444525815888,32,5
sk_ratios,SVM_poly2,train-all,0.8685897435897436,0.0,0.849557504619975,0.9615384615384616,0.0,0.4642857142857143,0.0,0.25983779700704934,162,1
sk_ratios,SVM_poly2,70/30 x50,0.5383,0.07269761573348422,0.547794158357842,0.7358333333333335,0.11414233317320188,0.32159999999999994,0.11141561829474357,0.29587033639410876,49,50
sk_ratios,SVM_poly2,stratified 5-fold,0.5212162990196079,0.056497910814777424,0.519308725172525,0.7283333333333333,0.11688669727560959,0.34558823529411764,0.059190034698523845,0.36519117269679935,32,5
sk_ratios,RF_depth2,train-all,0.8368437118437119,0.0,0.8496316755604431,0.9615384615384616,0.0,0.38095238095238093,0.0,0.411891893757403,162,1
sk_ratios,RF_depth2,70/30 x50,0.5556666666666668,0.06118732621130695,0.5713424690327211,0.8016666666666665,0.08642594774976116,0.268,0.08736131867136622,0.4139273080772309,49,50
sk_ratios,RF_depth2,stratified 5-fold,0.5251225490196079,0.0785116011233838,0.5582154623528319,0.7458333333333333,0.10117366807184126,0.31176470588235294,0.13362137284235936,0.4074848842242643,32,5
sk_ratios,RF_depth3,train-all,0.9191086691086692,0.0,0.9254551445547401,0.9615384615384616,0.0,0.6190476190476191,0.0,0.4410393585490187,162,1
sk_ratios,RF_depth3,70/30 x50,0.5449666666666667,0.06509009994700508,0.5681070049704349,0.6966666666666665,0.10036046144883065,0.36,0.09797958971132711,0.44722183203421645,49,50
sk_ratios,RF_depth3,stratified 5-fold,0.5143045343137255,0.07631960003840185,0.5476640747139637,0.6816666666666666,0.10728984626287388,0.3845588235294118,0.17029005379688306,0.4430657251039409,32,5
sk_windows,LR_L2,train-all,0.856990231990232,0.0,0.8500000084877091,0.9615384615384616,0.0,0.5357142857142857,0.0,0.3492873385957045,162,1
sk_windows,LR_L2,70/30 x50,0.6047,0.06357732824416787,0.599372970891307,0.7383333333333334,0.10866615541802026,0.4224,0.09997119585160517,0.34629998311524113,49,50
sk_windows,LR_L2,stratified 5-fold,0.6113878676470588,0.04599980295018326,0.6119644878368231,0.6791666666666667,0.09017729450612524,0.40735294117647064,0.1318290284177351,0.37960699978118634,32,5
sk_windows,LR_L1,train-all,0.8424908424908424,0.0,0.8344911656396178,0.9615384615384616,0.0,0.5357142857142857,0.0,0.3889978173270392,162,1
