candidate,mode,sk_features,folds,roc_auc_mean,roc_auc_std,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std
M2Q_screened_core_4_plus_age,repeated_stratified_5fold,4,100,0.6868082788671025,0.06922181985455457,0.7986666666666667,0.10292250252677917,0.4601633986928105,0.12385220261455131
M2Q_all_15_SK_plus_age,repeated_stratified_5fold,15,100,0.6761459694989107,0.06891270582680811,0.7886666666666667,0.11293652061220512,0.4528104575163399,0.11451747279948823
M2Q_no_SK_plus_age,repeated_stratified_5fold,0,100,0.6751633986928104,0.07125815813700169,0.8066666666666668,0.11311327417510643,0.4397712418300654,0.11237504848713985
M1Q_screened_core_4,repeated_stratified_5fold,4,100,0.6267450980392156,0.0766996064219124,0.7513333333333334,0.12166263080802205,0.43075163398692806,0.11778149251654964
M1Q_all_15_SK,repeated_stratified_5fold,15,100,0.6202832244008715,0.07847904810387574,0.752,0.1213763197616309,0.4258496732026144,0.11741364486969216
M0Q_profile_plus_reliability,repeated_stratified_5fold,0,100,0.6194226579520697,0.07590935447386259,0.7859999999999999,0.12071429757327137,0.40450980392156866,0.11382798318848707
M2Q_all_15_SK_plus_age,train_all,15,1,0.9029213483146067,,0.96,,0.5730337078651685,
M2Q_screened_core_4_plus_age,train_all,4,1,0.9026217228464419,,0.96,,0.5730337078651685,
M1Q_all_15_SK,train_all,15,1,0.8955805243445693,,0.96,,0.47191011235955055,
M1Q_screened_core_4,train_all,4,1,0.8895880149812734,,0.96,,0.4943820224719101,
M2Q_no_SK_plus_age,train_all,0,1,0.8801498127340823,,0.96,,0.5280898876404494,
M0Q_profile_plus_reliability,train_all,0,1,0.8689138576779026,,0.9866666666666667,,0.4157303370786517,
