candidate,mode,sk_features,folds,roc_auc_mean,roc_auc_std,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std
m2q_core_4_plus_pairwise_asymmetry,repeated_stratified_5fold,4,100,0.6812701525054465,0.07025552884802891,0.7973333333333333,0.11367545904361531,0.45725490196078433,0.11872746136580727
m2q_screened_core_4,repeated_stratified_5fold,4,100,0.6792897603485839,0.0716421622191421,0.7886666666666667,0.11293652061220505,0.458921568627451,0.1239380186564059
m2q_core_4_plus_pairwise_between_within,repeated_stratified_5fold,4,100,0.6754727668845316,0.0717846744230157,0.7913333333333334,0.11669023331000707,0.4618300653594771,0.11418404746532809
m2q_core_4_plus_pairwise_full,repeated_stratified_5fold,4,100,0.6705773420479304,0.0731990210325995,0.79,0.12295464658907822,0.4680065359477124,0.11798610853177113
m2q_no_sk_plus_pairwise_full,repeated_stratified_5fold,0,100,0.6549346405228758,0.07507887708400836,0.7926666666666666,0.12204578633382078,0.44591503267973853,0.11186522968027325
m2q_screened_core_4,train_all,4,1,0.9035205992509364,,0.96,,0.5730337078651685,
m2q_core_4_plus_pairwise_between_within,train_all,4,1,0.9033707865168539,,0.96,,0.5617977528089888,
m2q_core_4_plus_pairwise_asymmetry,train_all,4,1,0.9027715355805245,,0.96,,0.5393258426966292,
m2q_core_4_plus_pairwise_full,train_all,4,1,0.9015730337078652,,0.96,,0.550561797752809,
m2q_no_sk_plus_pairwise_full,train_all,0,1,0.8894382022471911,,0.96,,0.5056179775280899,
