pairwise_feature,audit_feature,pearson_r
cosine_between_mean,target_within_cosine_distance_mean,0.41538228883766337
cosine_within_target_mean,target_within_cosine_distance_mean,1.0
cosine_within_contralateral_mean,target_within_cosine_distance_mean,0.19764361364412011
cosine_asymmetry_score,target_within_cosine_distance_mean,-0.29464575959645684
cosine_target_contralateral_centroid,target_within_cosine_distance_mean,0.005307896324149329
cosine_replicate_variability_delta,target_within_cosine_distance_mean,0.7266375083974623
cosine_replicate_variability_ratio,target_within_cosine_distance_mean,0.6457208653802718
cosine_between_mean,contralateral_within_cosine_distance_mean,0.3865902141062236
cosine_within_target_mean,contralateral_within_cosine_distance_mean,0.18528174899768435
cosine_within_contralateral_mean,contralateral_within_cosine_distance_mean,1.0
cosine_asymmetry_score,contralateral_within_cosine_distance_mean,-0.21597592711889432
cosine_target_contralateral_centroid,contralateral_within_cosine_distance_mean,-0.0032237003518206697
cosine_replicate_variability_delta,contralateral_within_cosine_distance_mean,-0.5289556796294432
cosine_replicate_variability_ratio,contralateral_within_cosine_distance_mean,-0.22045740928266602
cosine_between_mean,between_breasts_cosine_distance_mean,0.8539989586313393
cosine_within_target_mean,between_breasts_cosine_distance_mean,0.026559171369319564
cosine_within_contralateral_mean,between_breasts_cosine_distance_mean,0.02190429621346203
cosine_asymmetry_score,between_breasts_cosine_distance_mean,0.9248759198836358
cosine_target_contralateral_centroid,between_breasts_cosine_distance_mean,1.0
cosine_replicate_variability_delta,between_breasts_cosine_distance_mean,0.01406061134373669
cosine_replicate_variability_ratio,between_breasts_cosine_distance_mean,0.04051043799734702
cosine_between_mean,symmetry_cosine_score,0.2517951910935544
cosine_within_target_mean,symmetry_cosine_score,-0.5619257253692879
cosine_within_contralateral_mean,symmetry_cosine_score,-0.4994314119264529
cosine_asymmetry_score,symmetry_cosine_score,0.9078845647136451
cosine_target_contralateral_centroid,symmetry_cosine_score,0.7137650011926495
cosine_replicate_variability_delta,symmetry_cosine_score,-0.14235679158988118
cosine_replicate_variability_ratio,symmetry_cosine_score,-0.20964741245498028
