feature,folds,full_roc_auc_mean,lofo_roc_auc_mean,lofo_delta_roc_auc_mean,lofo_delta_roc_auc_std,lofo_delta_sensitivity_mean,lofo_delta_specificity_mean,permutation_auc_drop_mean,permutation_auc_drop_std,coefficient_mean,coefficient_std,coefficient_positive_fraction,coefficient_negative_fraction,coefficient_dominant_sign_fraction
sk_wasserstein_distance_full_q2,100,0.6761459694989108,0.6694379084967322,0.006708061002178651,0.011465244444046013,2.220446049250313e-18,0.003333333333333335,0.0035489469862018657,0.02305918413914612,0.24042914984278507,0.05172923919989768,1.0,0.0,1.0
sk_weightedrms2,100,0.6761459694989108,0.6718605664488018,0.004285403050108938,0.0070939827977919605,0.00466666666666667,-0.004607843137254899,0.008932970225127077,0.013344950166666614,-0.11728218951942355,0.04371707444156519,0.0,1.0,1.0
sk_mean_peak_value_abs_delta,100,0.6761459694989108,0.6739782135076251,0.002167755991285404,0.008712196529068269,-0.0033333333333333327,0.006241830065359477,0.007534277414669542,0.015798128530059394,-0.13625092250990237,0.04962303572492436,0.0,1.0,1.0
sk_weightedrms1,100,0.6761459694989108,0.6748496732026145,0.0012962962962962997,0.010135923469794023,-0.006,0.015653594771241827,0.006853740014524307,0.01318472942645455,-0.17227842796510154,0.05962330846465554,0.0,1.0,1.0
sk_cosine_distance_full_q2,100,0.6761459694989108,0.6757625272331156,0.0003834422657952097,0.006181502974893186,0.004666666666666669,-0.006797385620915028,-0.0018998547567175405,0.010810000644422238,0.09085405184060144,0.05265137729756736,0.95,0.05,0.95
sk_meanrms1,100,0.6761459694989108,0.6759237472766886,0.00022222222222222586,0.004018540920225326,-0.0006666666666666665,-0.0016339869281045733,0.0008497458242556133,0.007800475180202339,-0.04710784511002677,0.03745251271109041,0.09,0.91,0.91
sk_mahalanobis1,100,0.6761459694989108,0.6759281045751635,0.00021786492374728072,0.0017609812132145517,0.0,3.2679738562091384e-05,0.00287454611474217,0.0073024254289471005,-0.06407774246925667,0.02991295342959779,0.0,1.0,1.0
sk_wasserstein_distance_mu_tc,100,0.6761459694989108,0.6760087145969499,0.0001372549019607827,0.005724741036464246,0.0019999999999999996,-0.0016013071895424824,-0.0019047204066812234,0.012647746052455881,0.10273280263067704,0.04366475966789287,0.99,0.01,0.99
sk_mahalanobis2,100,0.6761459694989108,0.6762178649237474,-7.189542483659772e-05,0.0035471997230539765,-0.001333333333333333,3.267973856209305e-05,0.0027526143790849345,0.006898537244265396,-0.12083351719827742,0.04414856092017639,0.0,1.0,1.0
sk_meanrms2,100,0.6761459694989108,0.6765577342047933,-0.0004117647058823548,0.0029181867598364925,-0.0026666666666666683,0.0010784313725490202,-0.000823238925199718,0.0067933493006823295,0.00577237949167874,0.03586634379704385,0.55,0.45,0.55
sk_sigma_contralateral2,100,0.6761459694989108,0.6769564270152507,-0.0008104575163398742,0.006281673128566402,-0.002666666666666666,-0.000620915032679738,8.511256354388985e-05,0.006463897069145608,-0.04035696035733184,0.05365865361121605,0.22,0.78,0.78
sk_peak14_intensity_abs_delta,100,0.6761459694989108,0.6773769063180828,-0.0012309368191721138,0.00471399079499691,-0.0006666666666666665,1.1102230246251566e-18,-0.0007308641975308861,0.00758312019048777,-0.03118284131317102,0.0482381621639038,0.23,0.77,0.77
sk_sigma_contralateral1,100,0.6761459694989108,0.6774553376906318,-0.0013093681917211364,0.007996028856323483,-0.006,0.005751633986928105,-0.0008299927378359206,0.009148651542973231,-0.04293161279595478,0.05040045873073038,0.21,0.79,0.79
sk_sigma_target2,100,0.6761459694989108,0.6780435729847496,-0.0018976034858387792,0.007237251452516961,0.0006666666666666655,-0.0016993464052287566,-0.0005247639796659598,0.008973218765380904,0.05868916707742566,0.0548843236444655,0.88,0.12,0.88
sk_sigma_target1,100,0.6761459694989108,0.6787952069716777,-0.0026492374727668886,0.009183106060915144,-0.008,0.00212418300653595,-0.000194480755265109,0.010018941904775031,0.06639070259659947,0.05638748082473835,0.88,0.12,0.88
