candidate,mode,sk_features,folds,roc_auc_mean,roc_auc_std,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std
screened_core_4,repeated_stratified_5fold,4,100,0.6868082788671025,0.06922181985455457,0.7986666666666667,0.10292250252677917,0.4601633986928105,0.12385220261455131
screened_core_3,repeated_stratified_5fold,3,100,0.6853355119825708,0.06895187954359804,0.8093333333333333,0.10637164588488975,0.4406209150326797,0.11407173240685184
all_sk,repeated_stratified_5fold,15,100,0.6761459694989107,0.06891270582680811,0.7886666666666667,0.11293652061220512,0.4528104575163399,0.11451747279948823
no_sk,repeated_stratified_5fold,0,100,0.6751633986928104,0.07125815813700169,0.8066666666666668,0.11311327417510643,0.4397712418300654,0.11237504848713985
distance_tail,repeated_stratified_5fold,3,100,0.6733050108932462,0.06725729576404016,0.8106666666666666,0.10833708877199659,0.4291503267973856,0.10847585030052126
all_sk,train_all,15,1,0.9029213483146067,,0.96,,0.5730337078651685,
screened_core_4,train_all,4,1,0.9026217228464419,,0.96,,0.5730337078651685,
screened_core_3,train_all,3,1,0.8957303370786517,,0.96,,0.5280898876404494,
distance_tail,train_all,3,1,0.8897378277153558,,0.9733333333333334,,0.449438202247191,
no_sk,train_all,0,1,0.8801498127340823,,0.96,,0.5280898876404494,
