feature,coefficient,abs_coefficient
profile_p_cancer_logit_average,1.1540456042279998,1.1540456042279998
age,0.47363087100798623,0.47363087100798623
sk_wasserstein_distance_full_q2,0.2750456595153059,0.2750456595153059
sk_weightedrms1,-0.19412156154356872,0.19412156154356872
sk_mean_peak_value_abs_delta,-0.1616029612375672,0.1616029612375672
sk_mahalanobis2,-0.13997506930749953,0.13997506930749953
sk_weightedrms2,-0.13577081327075227,0.13577081327075227
sk_wasserstein_distance_mu_tc,0.12090771953932852,0.12090771953932852
sk_cosine_distance_full_q2,0.10234116878518035,0.10234116878518035
contralateral_measurements,0.09876561195547687,0.09876561195547687
sk_sigma_target2,0.08728002512131317,0.08728002512131317
sk_sigma_contralateral1,-0.06579732003135501,0.06579732003135501
sk_sigma_target1,0.060381824110643266,0.060381824110643266
target_measurements_ok,0.058792898503449334,0.058792898503449334
sk_mahalanobis1,-0.0584771229685056,0.0584771229685056
paired_measurements_ok,-0.055322089775309814,0.055322089775309814
sk_sigma_contralateral2,-0.054806320319962014,0.054806320319962014
contralateral_measurements_ok,0.051325792833438036,0.051325792833438036
profile_p_cancer_n_measurements,0.050457463235605654,0.050457463235605654
target_measurements,0.050457463235605654,0.050457463235605654
sk_meanrms1,-0.05034474444813934,0.05034474444813934
symmetry_available,-0.02956006784585761,0.02956006784585761
sk_peak14_intensity_abs_delta,-0.024103734432880893,0.024103734432880893
sk_meanrms2,0.013964295767214082,0.013964295767214082
min_measurements_per_breast,-0.00865748157501302,0.00865748157501302
age_available,0.0,0.0
