cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
common,fpca256_4,raw100,0,0,0,roc_auc,-0.10793650793650789
common,fpca256_4,raw100,0,0,0,sensitivity,0.0
common,fpca256_4,raw100,0,0,0,specificity,-0.23809523809523808
common,fpca256_4,raw100,1,0,1,roc_auc,-0.08333333333333337
common,fpca256_4,raw100,1,0,1,sensitivity,0.0714285714285714
common,fpca256_4,raw100,1,0,1,specificity,-0.1111111111111111
common,fpca256_4,raw100,2,0,2,roc_auc,0.050420168067226934
common,fpca256_4,raw100,2,0,2,sensitivity,0.2857142857142857
common,fpca256_4,raw100,2,0,2,specificity,-0.29411764705882354
common,fpca256_4,raw100,3,0,3,roc_auc,0.16165413533834583
common,fpca256_4,raw100,3,0,3,sensitivity,0.1428571428571429
common,fpca256_4,raw100,3,0,3,specificity,-0.15789473684210525
common,fpca256_4,raw100,4,0,4,roc_auc,0.10121457489878549
common,fpca256_4,raw100,4,0,4,sensitivity,0.23076923076923084
common,fpca256_4,raw100,4,0,4,specificity,0.10526315789473684
common,fpca256_4,raw100,5,1,0,roc_auc,-0.03174603174603163
common,fpca256_4,raw100,5,1,0,sensitivity,0.07142857142857151
common,fpca256_4,raw100,5,1,0,specificity,-0.05555555555555555
common,fpca256_4,raw100,6,1,1,roc_auc,-0.06766917293233077
common,fpca256_4,raw100,6,1,1,sensitivity,0.0714285714285714
common,fpca256_4,raw100,6,1,1,specificity,-0.10526315789473684
common,fpca256_4,raw100,7,1,2,roc_auc,-0.023809523809523947
common,fpca256_4,raw100,7,1,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,7,1,2,specificity,-0.05555555555555558
common,fpca256_4,raw100,8,1,3,roc_auc,0.02807017543859658
common,fpca256_4,raw100,8,1,3,sensitivity,0.2666666666666667
common,fpca256_4,raw100,8,1,3,specificity,-0.42105263157894735
common,fpca256_4,raw100,9,1,4,roc_auc,-0.08461538461538476
common,fpca256_4,raw100,9,1,4,sensitivity,-0.07692307692307698
common,fpca256_4,raw100,9,1,4,specificity,0.15000000000000002
common,fpca256_4,raw100,10,2,0,roc_auc,-0.026315789473684292
common,fpca256_4,raw100,10,2,0,sensitivity,0.0714285714285714
common,fpca256_4,raw100,10,2,0,specificity,-0.2631578947368421
common,fpca256_4,raw100,11,2,1,roc_auc,0.010526315789473606
common,fpca256_4,raw100,11,2,1,sensitivity,0.06666666666666665
common,fpca256_4,raw100,11,2,1,specificity,-0.10526315789473684
common,fpca256_4,raw100,12,2,2,roc_auc,0.03759398496240596
common,fpca256_4,raw100,12,2,2,sensitivity,0.1428571428571428
common,fpca256_4,raw100,12,2,2,specificity,-0.15789473684210525
common,fpca256_4,raw100,13,2,3,roc_auc,-0.10902255639097747
common,fpca256_4,raw100,13,2,3,sensitivity,0.1428571428571429
common,fpca256_4,raw100,13,2,3,specificity,0.0
common,fpca256_4,raw100,14,2,4,roc_auc,0.05555555555555558
common,fpca256_4,raw100,14,2,4,sensitivity,0.15384615384615385
common,fpca256_4,raw100,14,2,4,specificity,-0.16666666666666669
common,fpca256_4,raw100,15,3,0,roc_auc,-0.05952380952380942
common,fpca256_4,raw100,15,3,0,sensitivity,0.07142857142857151
common,fpca256_4,raw100,15,3,0,specificity,-0.1111111111111111
common,fpca256_4,raw100,16,3,1,roc_auc,0.015037593984962294
common,fpca256_4,raw100,16,3,1,sensitivity,0.0
common,fpca256_4,raw100,16,3,1,specificity,-0.42105263157894735
common,fpca256_4,raw100,17,3,2,roc_auc,-0.040740740740740744
common,fpca256_4,raw100,17,3,2,sensitivity,0.06666666666666665
common,fpca256_4,raw100,17,3,2,specificity,-0.2222222222222222
common,fpca256_4,raw100,18,3,3,roc_auc,0.09022556390977443
common,fpca256_4,raw100,18,3,3,sensitivity,0.1428571428571429
common,fpca256_4,raw100,18,3,3,specificity,-0.26315789473684215
common,fpca256_4,raw100,19,3,4,roc_auc,0.007692307692307665
common,fpca256_4,raw100,19,3,4,sensitivity,0.23076923076923073
common,fpca256_4,raw100,19,3,4,specificity,-0.35000000000000003
common,fpca256_4,raw100,20,4,0,roc_auc,0.050000000000000044
common,fpca256_4,raw100,20,4,0,sensitivity,0.07142857142857151
common,fpca256_4,raw100,20,4,0,specificity,-0.15000000000000002
common,fpca256_4,raw100,21,4,1,roc_auc,0.0634920634920636
common,fpca256_4,raw100,21,4,1,sensitivity,0.2857142857142857
common,fpca256_4,raw100,21,4,1,specificity,-0.16666666666666669
common,fpca256_4,raw100,22,4,2,roc_auc,-0.011278195488721776
common,fpca256_4,raw100,22,4,2,sensitivity,0.1428571428571428
common,fpca256_4,raw100,22,4,2,specificity,-0.05263157894736842
common,fpca256_4,raw100,23,4,3,roc_auc,-0.011904761904761862
common,fpca256_4,raw100,23,4,3,sensitivity,0.1428571428571429
common,fpca256_4,raw100,23,4,3,specificity,-0.2222222222222222
common,fpca256_4,raw100,24,4,4,roc_auc,-0.015037593984962405
common,fpca256_4,raw100,24,4,4,sensitivity,0.0
common,fpca256_4,raw100,24,4,4,specificity,-0.05263157894736842
common,fpca256_4,raw100,25,5,0,roc_auc,0.02777777777777768
common,fpca256_4,raw100,25,5,0,sensitivity,0.0714285714285714
common,fpca256_4,raw100,25,5,0,specificity,0.0
common,fpca256_4,raw100,26,5,1,roc_auc,0.02631578947368418
common,fpca256_4,raw100,26,5,1,sensitivity,0.0
common,fpca256_4,raw100,26,5,1,specificity,-0.15789473684210525
common,fpca256_4,raw100,27,5,2,roc_auc,-0.012121212121212088
common,fpca256_4,raw100,27,5,2,sensitivity,0.20000000000000007
common,fpca256_4,raw100,27,5,2,specificity,-0.3181818181818182
common,fpca256_4,raw100,28,5,3,roc_auc,-0.04621848739495804
common,fpca256_4,raw100,28,5,3,sensitivity,-0.07142857142857151
common,fpca256_4,raw100,28,5,3,specificity,-0.23529411764705882
common,fpca256_4,raw100,29,5,4,roc_auc,-0.08547008547008561
common,fpca256_4,raw100,29,5,4,sensitivity,0.0
common,fpca256_4,raw100,29,5,4,specificity,0.0
common,fpca256_4,raw100,30,6,0,roc_auc,-0.011278195488721776
common,fpca256_4,raw100,30,6,0,sensitivity,0.0
common,fpca256_4,raw100,30,6,0,specificity,0.0
common,fpca256_4,raw100,31,6,1,roc_auc,0.056140350877192935
common,fpca256_4,raw100,31,6,1,sensitivity,0.13333333333333341
common,fpca256_4,raw100,31,6,1,specificity,-0.21052631578947367
common,fpca256_4,raw100,32,6,2,roc_auc,-0.05639097744360899
common,fpca256_4,raw100,32,6,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,32,6,2,specificity,-0.15789473684210525
