cohort,profile_encoder,split_id,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,threshold_target,true_positives,true_negatives,false_positives,false_negatives
common,raw100,0,0.8444444444444444,0.7542523290549606,0.9333333333333333,0.42857142857142855,0.680952380952381,0.5384615384615384,0.9,0.17198122000603755,0.527014044875781,-0.5496109247257118,1.2349757223003928,0.2807400530518788,14,9,12,1
common,raw100,1,0.5476190476190477,0.5034935223464698,0.7142857142857143,0.3888888888888889,0.5515873015873016,0.47619047619047616,0.6363636363636364,0.3121235750927497,0.8709270707985952,-0.1931321018867241,0.15824697717690847,0.2581493552363743,10,7,11,4
common,raw100,2,0.7436974789915967,0.7785351891339286,0.7142857142857143,0.5882352941176471,0.6512605042016807,0.5882352941176471,0.7142857142857143,0.2044527685245225,0.5991884233358011,0.252747120094623,0.6976808081127984,0.30125045929947625,10,10,7,4
common,raw100,3,0.518796992481203,0.49950326549019985,0.7857142857142857,0.2631578947368421,0.5244360902255639,0.44,0.625,0.3197381231180711,0.9320531103390116,-0.30259585696488006,-0.015644047212771912,0.30239624040802077,11,5,14,3
common,raw100,4,0.6437246963562753,0.5906565847945158,0.6923076923076923,0.3684210526315789,0.5303643724696356,0.42857142857142855,0.6363636363636364,0.2308196963841611,0.6862860071815415,-0.1367451225207865,0.4293100638316362,0.25844552230676887,9,7,12,4
common,raw100,5,0.6428571428571428,0.605617317862521,0.8571428571428571,0.16666666666666666,0.5119047619047619,0.4444444444444444,0.6,0.2742601422063681,0.8307508800051544,-0.28982481062667015,0.15583819949976516,0.2737107098392414,12,3,15,2
common,raw100,6,0.6654135338345865,0.6821020625515699,0.7142857142857143,0.42105263157894735,0.5676691729323309,0.47619047619047616,0.6666666666666666,0.23864042150685208,0.7158671228658399,-0.1548845456160334,0.38639733452846975,0.2527382482439085,10,8,11,4
common,raw100,7,0.7658730158730159,0.6998677112647701,0.9285714285714286,0.2777777777777778,0.6031746031746033,0.5,0.8333333333333334,0.20762604096230491,0.6209902561444987,-0.46861515754860844,0.704296104283178,0.288447232096126,13,5,13,1
common,raw100,8,0.6421052631578947,0.5601344598134168,0.6666666666666666,0.631578947368421,0.6491228070175439,0.5882352941176471,0.7058823529411765,0.2759827195634184,0.8271606096710418,-0.04059412047797569,0.26185961368145805,0.3371498031188962,10,12,7,5
common,raw100,9,0.7961538461538462,0.6322711727689103,0.9230769230769231,0.35,0.6365384615384615,0.48,0.875,0.19039998721258025,0.5625758587128821,-0.45674874443905444,0.8747595222331351,0.27656270669978134,12,7,13,1
