cohort,profile_encoder,reference_encoder,metric,folds,mean_delta,std_delta,descriptive_quantile_2_5,descriptive_quantile_97_5,interval_interpretation
common,fpca256_10,raw100,roc_auc,100,-0.009613000793496152,0.06616506657417372,-0.12089285714285714,0.1141395154553048,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_10,raw100,sensitivity,100,0.06466300366300366,0.10397073178970814,-0.1065384615384615,0.2857142857142857,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_10,raw100,specificity,100,-0.1227254254173759,0.12745146833202275,-0.33333333333333337,0.10526315789473684,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_10,raw256,roc_auc,100,0.0330680715266518,0.08229761242660201,-0.12642857142857142,0.1919649236212702,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_10,raw256,sensitivity,100,0.3062344322344322,0.14521825108452246,0.03166666666666666,0.5714285714285714,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_10,raw256,specificity,100,-0.3370053207886024,0.1550025681743387,-0.65,-0.05557275541795671,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw100,roc_auc,100,-0.01459538158043245,0.06525331297811697,-0.1255378028404345,0.12845394736842097,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw100,sensitivity,100,0.06099633699633699,0.10202603842290565,-0.11153846153846153,0.2857142857142857,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw100,specificity,100,-0.09407193786605555,0.1298274266920601,-0.34362745098039216,0.11454248366013067,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw256,roc_auc,100,0.028085690739715504,0.0814840435138538,-0.12478383458646615,0.18595286292654697,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw256,sensitivity,100,0.30256776556776555,0.1435421405787462,0.0,0.5714285714285714,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_15,raw256,specificity,100,-0.30835183323728216,0.15413126379464662,-0.6002450980392158,0.0,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw100,roc_auc,100,-0.02501879562686728,0.06598513407242655,-0.13866431187859765,0.1259165542060278,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw100,sensitivity,100,0.0356007326007326,0.09550481499050793,-0.1428571428571429,0.2142857142857143,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw100,specificity,100,-0.05639301908961352,0.13097222356453295,-0.3194642857142857,0.16249999999999992,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw256,roc_auc,100,0.01766227669328067,0.08091019085265823,-0.11010338345864662,0.1744747899159663,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw256,sensitivity,100,0.27717216117216115,0.14310065058020358,0.0,0.5374999999999994,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_20,raw256,specificity,100,-0.27067291446084013,0.15230524550967062,-0.5463235294117648,0.0,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw100,roc_auc,100,-0.03292411059054137,0.06759307475315303,-0.1455353126405758,0.12089285714285714,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw100,sensitivity,100,0.012263736263736263,0.12332383213368588,-0.24961538461538463,0.2142857142857143,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw100,specificity,100,-0.029173052953238715,0.13063626818382332,-0.2863562091503268,0.21666666666666656,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw256,roc_auc,100,0.00975696172960658,0.0781043968971895,-0.12481925968768073,0.141104826546003,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw256,sensitivity,100,0.25383516483516483,0.15929863498334484,-0.07142857142857145,0.5174999999999997,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_25,raw256,specificity,100,-0.24345294832446535,0.15376269172632925,-0.5431372549019607,0.0,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw100,roc_auc,100,-0.023341353160083816,0.06915360393893388,-0.141698717948718,0.10896146616541333,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw100,sensitivity,100,0.006054945054945051,0.10169195673911428,-0.18557692307692308,0.2142857142857143,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw100,specificity,100,0.00398118737128025,0.13521581249141595,-0.2569078947368421,0.27083333333333326,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw256,roc_auc,100,0.019339719160064134,0.07891648713533657,-0.12175824175824182,0.1619757727652465,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw256,sensitivity,100,0.24762637362637357,0.14328566244620985,0.0,0.5,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
common,fpca256_30,raw256,specificity,100,-0.2102987079999464,0.14795695212782722,-0.5013157894736842,0.05416666666666668,descriptive_quantiles_not_inferential_ci_because_repeated_folds_overlap
