cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
common,fpca256_10,raw100,0,0,0,roc_auc,-0.10476190476190483
common,fpca256_10,raw100,0,0,0,sensitivity,0.0
common,fpca256_10,raw100,0,0,0,specificity,-0.2857142857142857
common,fpca256_10,raw100,1,0,1,roc_auc,-0.09523809523809529
common,fpca256_10,raw100,1,0,1,sensitivity,-0.0714285714285714
common,fpca256_10,raw100,1,0,1,specificity,0.0
common,fpca256_10,raw100,2,0,2,roc_auc,0.025210084033613356
common,fpca256_10,raw100,2,0,2,sensitivity,0.2857142857142857
common,fpca256_10,raw100,2,0,2,specificity,-0.29411764705882354
common,fpca256_10,raw100,3,0,3,roc_auc,0.16917293233082709
common,fpca256_10,raw100,3,0,3,sensitivity,0.1428571428571429
common,fpca256_10,raw100,3,0,3,specificity,-0.15789473684210525
common,fpca256_10,raw100,4,0,4,roc_auc,-0.012145748987854255
common,fpca256_10,raw100,4,0,4,sensitivity,0.15384615384615385
common,fpca256_10,raw100,4,0,4,specificity,-0.15789473684210525
common,fpca256_10,raw100,5,1,0,roc_auc,-0.015873015873015817
common,fpca256_10,raw100,5,1,0,sensitivity,0.0
common,fpca256_10,raw100,5,1,0,specificity,-0.05555555555555555
common,fpca256_10,raw100,6,1,1,roc_auc,-0.05639097744360899
common,fpca256_10,raw100,6,1,1,sensitivity,0.0714285714285714
common,fpca256_10,raw100,6,1,1,specificity,-0.10526315789473684
common,fpca256_10,raw100,7,1,2,roc_auc,-0.0277777777777779
common,fpca256_10,raw100,7,1,2,sensitivity,0.0714285714285714
common,fpca256_10,raw100,7,1,2,specificity,-0.05555555555555558
common,fpca256_10,raw100,8,1,3,roc_auc,0.04210526315789476
common,fpca256_10,raw100,8,1,3,sensitivity,0.06666666666666665
common,fpca256_10,raw100,8,1,3,specificity,-0.21052631578947367
common,fpca256_10,raw100,9,1,4,roc_auc,-0.12307692307692308
common,fpca256_10,raw100,9,1,4,sensitivity,0.0
common,fpca256_10,raw100,9,1,4,specificity,0.10000000000000003
common,fpca256_10,raw100,10,2,0,roc_auc,-0.02631578947368418
common,fpca256_10,raw100,10,2,0,sensitivity,0.0714285714285714
common,fpca256_10,raw100,10,2,0,specificity,-0.21052631578947367
common,fpca256_10,raw100,11,2,1,roc_auc,0.03157894736842093
common,fpca256_10,raw100,11,2,1,sensitivity,0.0
common,fpca256_10,raw100,11,2,1,specificity,0.0
common,fpca256_10,raw100,12,2,2,roc_auc,0.015037593984962405
common,fpca256_10,raw100,12,2,2,sensitivity,0.2142857142857142
common,fpca256_10,raw100,12,2,2,specificity,0.0
common,fpca256_10,raw100,13,2,3,roc_auc,-0.10150375939849632
common,fpca256_10,raw100,13,2,3,sensitivity,0.07142857142857151
common,fpca256_10,raw100,13,2,3,specificity,0.0
common,fpca256_10,raw100,14,2,4,roc_auc,0.042735042735042805
common,fpca256_10,raw100,14,2,4,sensitivity,0.0
common,fpca256_10,raw100,14,2,4,specificity,-0.11111111111111113
common,fpca256_10,raw100,15,3,0,roc_auc,-0.06349206349206338
common,fpca256_10,raw100,15,3,0,sensitivity,0.07142857142857151
common,fpca256_10,raw100,15,3,0,specificity,-0.055555555555555525
common,fpca256_10,raw100,16,3,1,roc_auc,-0.007518796992481258
common,fpca256_10,raw100,16,3,1,sensitivity,-0.07142857142857151
common,fpca256_10,raw100,16,3,1,specificity,-0.15789473684210525
common,fpca256_10,raw100,17,3,2,roc_auc,-0.0888888888888889
common,fpca256_10,raw100,17,3,2,sensitivity,-0.1333333333333333
common,fpca256_10,raw100,17,3,2,specificity,-0.055555555555555525
common,fpca256_10,raw100,18,3,3,roc_auc,0.12406015037593987
common,fpca256_10,raw100,18,3,3,sensitivity,0.2142857142857143
common,fpca256_10,raw100,18,3,3,specificity,-0.21052631578947373
common,fpca256_10,raw100,19,3,4,roc_auc,0.019230769230769162
common,fpca256_10,raw100,19,3,4,sensitivity,0.23076923076923073
common,fpca256_10,raw100,19,3,4,specificity,-0.30000000000000004
common,fpca256_10,raw100,20,4,0,roc_auc,0.06428571428571428
common,fpca256_10,raw100,20,4,0,sensitivity,0.0
common,fpca256_10,raw100,20,4,0,specificity,-0.050000000000000044
common,fpca256_10,raw100,21,4,1,roc_auc,-0.031746031746031744
common,fpca256_10,raw100,21,4,1,sensitivity,0.0714285714285714
common,fpca256_10,raw100,21,4,1,specificity,-0.16666666666666669
common,fpca256_10,raw100,22,4,2,roc_auc,-0.011278195488721776
common,fpca256_10,raw100,22,4,2,sensitivity,0.1428571428571428
common,fpca256_10,raw100,22,4,2,specificity,-0.05263157894736842
common,fpca256_10,raw100,23,4,3,roc_auc,0.0
common,fpca256_10,raw100,23,4,3,sensitivity,0.2142857142857143
common,fpca256_10,raw100,23,4,3,specificity,-0.2222222222222222
common,fpca256_10,raw100,24,4,4,roc_auc,-0.03383458646616544
common,fpca256_10,raw100,24,4,4,sensitivity,0.0
common,fpca256_10,raw100,24,4,4,specificity,-0.10526315789473684
common,fpca256_10,raw100,25,5,0,roc_auc,-0.019841269841269993
common,fpca256_10,raw100,25,5,0,sensitivity,0.0
common,fpca256_10,raw100,25,5,0,specificity,0.0
common,fpca256_10,raw100,26,5,1,roc_auc,0.02631578947368418
common,fpca256_10,raw100,26,5,1,sensitivity,0.0
common,fpca256_10,raw100,26,5,1,specificity,-0.05263157894736842
common,fpca256_10,raw100,27,5,2,roc_auc,0.027272727272727337
common,fpca256_10,raw100,27,5,2,sensitivity,0.13333333333333341
common,fpca256_10,raw100,27,5,2,specificity,-0.04545454545454547
common,fpca256_10,raw100,28,5,3,roc_auc,-0.025210084033613467
common,fpca256_10,raw100,28,5,3,sensitivity,0.0
common,fpca256_10,raw100,28,5,3,specificity,-0.23529411764705882
common,fpca256_10,raw100,29,5,4,roc_auc,-0.1068376068376069
common,fpca256_10,raw100,29,5,4,sensitivity,0.0
common,fpca256_10,raw100,29,5,4,specificity,0.0
common,fpca256_10,raw100,30,6,0,roc_auc,-0.03007518796992481
common,fpca256_10,raw100,30,6,0,sensitivity,-0.0714285714285714
common,fpca256_10,raw100,30,6,0,specificity,0.0
common,fpca256_10,raw100,31,6,1,roc_auc,0.05964912280701751
common,fpca256_10,raw100,31,6,1,sensitivity,0.13333333333333341
common,fpca256_10,raw100,31,6,1,specificity,-0.21052631578947367
common,fpca256_10,raw100,32,6,2,roc_auc,-0.05263157894736836
common,fpca256_10,raw100,32,6,2,sensitivity,0.0
common,fpca256_10,raw100,32,6,2,specificity,-0.15789473684210525
common,fpca256_10,raw100,33,6,3,roc_auc,0.10317460317460325
common,fpca256_10,raw100,33,6,3,sensitivity,0.2142857142857142
common,fpca256_10,raw100,33,6,3,specificity,-0.16666666666666669
common,fpca256_10,raw100,34,6,4,roc_auc,-0.020242914979757054
common,fpca256_10,raw100,34,6,4,sensitivity,0.07692307692307698
common,fpca256_10,raw100,34,6,4,specificity,-0.21052631578947367
common,fpca256_10,raw100,35,7,0,roc_auc,-0.02499999999999991
common,fpca256_10,raw100,35,7,0,sensitivity,-0.0714285714285714
common,fpca256_10,raw100,35,7,0,specificity,-0.04999999999999999
common,fpca256_10,raw100,36,7,1,roc_auc,0.03571428571428559
common,fpca256_10,raw100,36,7,1,sensitivity,0.0714285714285714
common,fpca256_10,raw100,36,7,1,specificity,-0.2777777777777778
common,fpca256_10,raw100,37,7,2,roc_auc,-0.03571428571428581
common,fpca256_10,raw100,37,7,2,sensitivity,0.0714285714285714
common,fpca256_10,raw100,37,7,2,specificity,-0.16666666666666669
common,fpca256_10,raw100,38,7,3,roc_auc,-0.11507936507936511
common,fpca256_10,raw100,38,7,3,sensitivity,0.0714285714285714
common,fpca256_10,raw100,38,7,3,specificity,-0.2777777777777778
common,fpca256_10,raw100,39,7,4,roc_auc,0.09642857142857153
common,fpca256_10,raw100,39,7,4,sensitivity,0.0
common,fpca256_10,raw100,39,7,4,specificity,-0.04999999999999999
common,fpca256_10,raw100,40,8,0,roc_auc,-0.11904761904761918
common,fpca256_10,raw100,40,8,0,sensitivity,0.0
common,fpca256_10,raw100,40,8,0,specificity,-0.047619047619047616
common,fpca256_10,raw100,41,8,1,roc_auc,0.09126984126984128
common,fpca256_10,raw100,41,8,1,sensitivity,0.3571428571428571
common,fpca256_10,raw100,41,8,1,specificity,-0.16666666666666669
common,fpca256_10,raw100,42,8,2,roc_auc,-0.011111111111111183
common,fpca256_10,raw100,42,8,2,sensitivity,0.1333333333333333
common,fpca256_10,raw100,42,8,2,specificity,-0.2222222222222222
common,fpca256_10,raw100,43,8,3,roc_auc,-0.02777777777777779
common,fpca256_10,raw100,43,8,3,sensitivity,0.0714285714285714
common,fpca256_10,raw100,43,8,3,specificity,-0.16666666666666669
common,fpca256_10,raw100,44,8,4,roc_auc,-0.01619433198380571
common,fpca256_10,raw100,44,8,4,sensitivity,-0.07692307692307687
common,fpca256_10,raw100,44,8,4,specificity,0.0
common,fpca256_10,raw100,45,9,0,roc_auc,0.08333333333333337
common,fpca256_10,raw100,45,9,0,sensitivity,0.0714285714285714
common,fpca256_10,raw100,45,9,0,specificity,0.055555555555555525
common,fpca256_10,raw100,46,9,1,roc_auc,0.023333333333333428
common,fpca256_10,raw100,46,9,1,sensitivity,0.20000000000000007
common,fpca256_10,raw100,46,9,1,specificity,-0.2
common,fpca256_10,raw100,47,9,2,roc_auc,-0.03571428571428581
common,fpca256_10,raw100,47,9,2,sensitivity,0.0714285714285714
common,fpca256_10,raw100,47,9,2,specificity,-0.11111111111111116
common,fpca256_10,raw100,48,9,3,roc_auc,-0.07857142857142863
common,fpca256_10,raw100,48,9,3,sensitivity,0.0
common,fpca256_10,raw100,48,9,3,specificity,-0.25000000000000006
common,fpca256_10,raw100,49,9,4,roc_auc,-0.021367521367521403
common,fpca256_10,raw100,49,9,4,sensitivity,0.07692307692307687
common,fpca256_10,raw100,49,9,4,specificity,-0.2777777777777778
common,fpca256_10,raw100,50,10,0,roc_auc,-0.07539682539682535
common,fpca256_10,raw100,50,10,0,sensitivity,0.0714285714285714
common,fpca256_10,raw100,50,10,0,specificity,-0.3333333333333333
common,fpca256_10,raw100,51,10,1,roc_auc,-0.025210084033613467
common,fpca256_10,raw100,51,10,1,sensitivity,0.0
common,fpca256_10,raw100,51,10,1,specificity,-0.23529411764705882
common,fpca256_10,raw100,52,10,2,roc_auc,-0.022727272727272707
common,fpca256_10,raw100,52,10,2,sensitivity,0.1428571428571429
common,fpca256_10,raw100,52,10,2,specificity,-0.1363636363636364
common,fpca256_10,raw100,53,10,3,roc_auc,0.003968253968254065
common,fpca256_10,raw100,53,10,3,sensitivity,0.1428571428571428
common,fpca256_10,raw100,53,10,3,specificity,0.0
common,fpca256_10,raw100,54,10,4,roc_auc,0.0
common,fpca256_10,raw100,54,10,4,sensitivity,0.07142857142857151
common,fpca256_10,raw100,54,10,4,specificity,0.10526315789473684
common,fpca256_10,raw100,55,11,0,roc_auc,-0.06666666666666665
common,fpca256_10,raw100,55,11,0,sensitivity,-0.06666666666666665
common,fpca256_10,raw100,55,11,0,specificity,0.0
common,fpca256_10,raw100,56,11,1,roc_auc,0.04621848739495804
common,fpca256_10,raw100,56,11,1,sensitivity,0.0714285714285714
common,fpca256_10,raw100,56,11,1,specificity,-0.05882352941176472
common,fpca256_10,raw100,57,11,2,roc_auc,0.0892857142857143
common,fpca256_10,raw100,57,11,2,sensitivity,-0.07142857142857151
common,fpca256_10,raw100,57,11,2,specificity,-0.04999999999999999
common,fpca256_10,raw100,58,11,3,roc_auc,-0.06349206349206349
common,fpca256_10,raw100,58,11,3,sensitivity,0.0714285714285714
common,fpca256_10,raw100,58,11,3,specificity,-0.16666666666666669
common,fpca256_10,raw100,59,11,4,roc_auc,-0.09716599190283393
common,fpca256_10,raw100,59,11,4,sensitivity,0.07692307692307698
common,fpca256_10,raw100,59,11,4,specificity,-0.10526315789473684
common,fpca256_10,raw100,60,12,0,roc_auc,0.08627450980392148
common,fpca256_10,raw100,60,12,0,sensitivity,0.06666666666666665
common,fpca256_10,raw100,60,12,0,specificity,-0.11764705882352944
common,fpca256_10,raw100,61,12,1,roc_auc,-0.02631578947368418
common,fpca256_10,raw100,61,12,1,sensitivity,0.0
common,fpca256_10,raw100,61,12,1,specificity,0.10526315789473684
common,fpca256_10,raw100,62,12,2,roc_auc,0.08270676691729328
common,fpca256_10,raw100,62,12,2,sensitivity,0.0
common,fpca256_10,raw100,62,12,2,specificity,0.0
common,fpca256_10,raw100,63,12,3,roc_auc,-0.12142857142857133
common,fpca256_10,raw100,63,12,3,sensitivity,0.0714285714285714
common,fpca256_10,raw100,63,12,3,specificity,-0.24999999999999997
common,fpca256_10,raw100,64,12,4,roc_auc,-0.08097165991902833
common,fpca256_10,raw100,64,12,4,sensitivity,0.15384615384615385
common,fpca256_10,raw100,64,12,4,specificity,-0.21052631578947367
common,fpca256_10,raw100,65,13,0,roc_auc,0.04365079365079372
common,fpca256_10,raw100,65,13,0,sensitivity,0.0714285714285714
common,fpca256_10,raw100,65,13,0,specificity,-0.2777777777777778
common,fpca256_10,raw100,66,13,1,roc_auc,-0.029999999999999916
common,fpca256_10,raw100,66,13,1,sensitivity,0.06666666666666665
common,fpca256_10,raw100,66,13,1,specificity,-0.39999999999999997
common,fpca256_10,raw100,67,13,2,roc_auc,-0.09398496240601517
common,fpca256_10,raw100,67,13,2,sensitivity,0.0714285714285714
common,fpca256_10,raw100,67,13,2,specificity,-0.10526315789473684
common,fpca256_10,raw100,68,13,3,roc_auc,0.1470588235294117
common,fpca256_10,raw100,68,13,3,sensitivity,0.0
common,fpca256_10,raw100,68,13,3,specificity,0.05882352941176466
common,fpca256_10,raw100,69,13,4,roc_auc,-0.03461538461538449
common,fpca256_10,raw100,69,13,4,sensitivity,0.15384615384615385
common,fpca256_10,raw100,69,13,4,specificity,-0.09999999999999998
common,fpca256_10,raw100,70,14,0,roc_auc,0.01403508771929829
common,fpca256_10,raw100,70,14,0,sensitivity,0.06666666666666665
common,fpca256_10,raw100,70,14,0,specificity,-0.2631578947368421
common,fpca256_10,raw100,71,14,1,roc_auc,-0.015873015873015817
common,fpca256_10,raw100,71,14,1,sensitivity,0.0
common,fpca256_10,raw100,71,14,1,specificity,-0.1111111111111111
common,fpca256_10,raw100,72,14,2,roc_auc,-0.11904761904761907
common,fpca256_10,raw100,72,14,2,sensitivity,0.2142857142857143
common,fpca256_10,raw100,72,14,2,specificity,-0.16666666666666666
common,fpca256_10,raw100,73,14,3,roc_auc,-0.05357142857142855
common,fpca256_10,raw100,73,14,3,sensitivity,0.3571428571428572
common,fpca256_10,raw100,73,14,3,specificity,-0.15
common,fpca256_10,raw100,74,14,4,roc_auc,0.0080971659919028
common,fpca256_10,raw100,74,14,4,sensitivity,0.0
common,fpca256_10,raw100,74,14,4,specificity,-0.15789473684210525
common,fpca256_10,raw100,75,15,0,roc_auc,-0.12030075187969935
common,fpca256_10,raw100,75,15,0,sensitivity,-0.0714285714285714
common,fpca256_10,raw100,75,15,0,specificity,-0.10526315789473684
common,fpca256_10,raw100,76,15,1,roc_auc,-0.09523809523809523
common,fpca256_10,raw100,76,15,1,sensitivity,0.1428571428571429
