cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
full_npt256,fpca256_10,raw256,0,0,0,roc_auc,-0.026666666666666672
full_npt256,fpca256_10,raw256,0,0,0,sensitivity,0.06666666666666665
full_npt256,fpca256_10,raw256,0,0,0,specificity,-0.35
full_npt256,fpca256_10,raw256,1,0,1,roc_auc,0.0444444444444444
full_npt256,fpca256_10,raw256,1,0,1,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,1,0,1,specificity,-0.16666666666666669
full_npt256,fpca256_10,raw256,2,0,2,roc_auc,0.011111111111111183
full_npt256,fpca256_10,raw256,2,0,2,sensitivity,0.20000000000000007
full_npt256,fpca256_10,raw256,2,0,2,specificity,-0.3888888888888889
full_npt256,fpca256_10,raw256,3,0,3,roc_auc,-0.04444444444444451
full_npt256,fpca256_10,raw256,3,0,3,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,3,0,3,specificity,-0.3888888888888889
full_npt256,fpca256_10,raw256,4,0,4,roc_auc,-0.037267080745341574
full_npt256,fpca256_10,raw256,4,0,4,sensitivity,0.0714285714285714
full_npt256,fpca256_10,raw256,4,0,4,specificity,-0.4347826086956522
full_npt256,fpca256_10,raw256,5,1,0,roc_auc,0.043333333333333224
full_npt256,fpca256_10,raw256,5,1,0,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,5,1,0,specificity,-0.5499999999999999
full_npt256,fpca256_10,raw256,6,1,1,roc_auc,0.16666666666666674
full_npt256,fpca256_10,raw256,6,1,1,sensitivity,0.20000000000000007
full_npt256,fpca256_10,raw256,6,1,1,specificity,-0.2777777777777778
full_npt256,fpca256_10,raw256,7,1,2,roc_auc,0.06999999999999984
full_npt256,fpca256_10,raw256,7,1,2,sensitivity,0.19999999999999996
full_npt256,fpca256_10,raw256,7,1,2,specificity,-0.20000000000000007
full_npt256,fpca256_10,raw256,8,1,3,roc_auc,-0.00375939849624074
full_npt256,fpca256_10,raw256,8,1,3,sensitivity,0.2142857142857142
full_npt256,fpca256_10,raw256,8,1,3,specificity,-0.3157894736842105
full_npt256,fpca256_10,raw256,9,1,4,roc_auc,0.043333333333333335
full_npt256,fpca256_10,raw256,9,1,4,sensitivity,0.39999999999999997
full_npt256,fpca256_10,raw256,9,1,4,specificity,-0.44999999999999996
full_npt256,fpca256_10,raw256,10,2,0,roc_auc,-0.060317460317460436
full_npt256,fpca256_10,raw256,10,2,0,sensitivity,0.1333333333333333
full_npt256,fpca256_10,raw256,10,2,0,specificity,-0.33333333333333337
full_npt256,fpca256_10,raw256,11,2,1,roc_auc,0.10526315789473684
full_npt256,fpca256_10,raw256,11,2,1,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,11,2,1,specificity,0.05263157894736842
