cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
full_npt256,fpca256_4,raw256,0,0,0,roc_auc,-0.013333333333333364
full_npt256,fpca256_4,raw256,0,0,0,sensitivity,0.06666666666666665
full_npt256,fpca256_4,raw256,0,0,0,specificity,-0.4
full_npt256,fpca256_4,raw256,1,0,1,roc_auc,0.09999999999999998
full_npt256,fpca256_4,raw256,1,0,1,sensitivity,0.4
full_npt256,fpca256_4,raw256,1,0,1,specificity,-0.38888888888888895
full_npt256,fpca256_4,raw256,2,0,2,roc_auc,0.03333333333333344
full_npt256,fpca256_4,raw256,2,0,2,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,2,0,2,specificity,-0.5555555555555556
full_npt256,fpca256_4,raw256,3,0,3,roc_auc,-0.062962962962963
full_npt256,fpca256_4,raw256,3,0,3,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,3,0,3,specificity,-0.5555555555555556
full_npt256,fpca256_4,raw256,4,0,4,roc_auc,0.02795031055900621
full_npt256,fpca256_4,raw256,4,0,4,sensitivity,0.2142857142857143
full_npt256,fpca256_4,raw256,4,0,4,specificity,-0.4347826086956522
full_npt256,fpca256_4,raw256,5,1,0,roc_auc,0.1233333333333333
full_npt256,fpca256_4,raw256,5,1,0,sensitivity,0.4
full_npt256,fpca256_4,raw256,5,1,0,specificity,-0.5499999999999999
full_npt256,fpca256_4,raw256,6,1,1,roc_auc,0.13703703703703707
full_npt256,fpca256_4,raw256,6,1,1,sensitivity,0.20000000000000007
full_npt256,fpca256_4,raw256,6,1,1,specificity,-0.2777777777777778
full_npt256,fpca256_4,raw256,7,1,2,roc_auc,0.043333333333333224
full_npt256,fpca256_4,raw256,7,1,2,sensitivity,0.06666666666666665
full_npt256,fpca256_4,raw256,7,1,2,specificity,-0.20000000000000007
full_npt256,fpca256_4,raw256,8,1,3,roc_auc,0.003759398496240518
full_npt256,fpca256_4,raw256,8,1,3,sensitivity,0.3571428571428571
full_npt256,fpca256_4,raw256,8,1,3,specificity,-0.47368421052631576
full_npt256,fpca256_4,raw256,9,1,4,roc_auc,0.026666666666666616
full_npt256,fpca256_4,raw256,9,1,4,sensitivity,0.46666666666666673
full_npt256,fpca256_4,raw256,9,1,4,specificity,-0.5
full_npt256,fpca256_4,raw256,10,2,0,roc_auc,-0.031746031746031744
full_npt256,fpca256_4,raw256,10,2,0,sensitivity,0.1333333333333333
full_npt256,fpca256_4,raw256,10,2,0,specificity,-0.33333333333333337
full_npt256,fpca256_4,raw256,11,2,1,roc_auc,0.0736842105263158
full_npt256,fpca256_4,raw256,11,2,1,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,11,2,1,specificity,-0.10526315789473684
full_npt256,fpca256_4,raw256,12,2,2,roc_auc,-0.09027777777777779
full_npt256,fpca256_4,raw256,12,2,2,sensitivity,0.3125
full_npt256,fpca256_4,raw256,12,2,2,specificity,-0.7222222222222223
full_npt256,fpca256_4,raw256,13,2,3,roc_auc,0.03214285714285714
full_npt256,fpca256_4,raw256,13,2,3,sensitivity,0.4285714285714286
full_npt256,fpca256_4,raw256,13,2,3,specificity,-0.5
full_npt256,fpca256_4,raw256,14,2,4,roc_auc,-0.08646616541353391
full_npt256,fpca256_4,raw256,14,2,4,sensitivity,0.5
full_npt256,fpca256_4,raw256,14,2,4,specificity,-0.631578947368421
full_npt256,fpca256_4,raw256,15,3,0,roc_auc,-0.013333333333333308
full_npt256,fpca256_4,raw256,15,3,0,sensitivity,0.20000000000000007
full_npt256,fpca256_4,raw256,15,3,0,specificity,-0.15000000000000002
full_npt256,fpca256_4,raw256,16,3,1,roc_auc,0.1555555555555556
full_npt256,fpca256_4,raw256,16,3,1,sensitivity,0.46666666666666673
full_npt256,fpca256_4,raw256,16,3,1,specificity,-0.5555555555555556
full_npt256,fpca256_4,raw256,17,3,2,roc_auc,0.11111111111111105
full_npt256,fpca256_4,raw256,17,3,2,sensitivity,0.375
full_npt256,fpca256_4,raw256,17,3,2,specificity,-0.5555555555555556
full_npt256,fpca256_4,raw256,18,3,3,roc_auc,-0.08843537414965974
full_npt256,fpca256_4,raw256,18,3,3,sensitivity,0.2857142857142857
full_npt256,fpca256_4,raw256,18,3,3,specificity,-0.23809523809523808
full_npt256,fpca256_4,raw256,19,3,4,roc_auc,0.09285714285714286
full_npt256,fpca256_4,raw256,19,3,4,sensitivity,0.3571428571428572
full_npt256,fpca256_4,raw256,19,3,4,specificity,-0.5
full_npt256,fpca256_4,raw256,20,4,0,roc_auc,0.125
full_npt256,fpca256_4,raw256,20,4,0,sensitivity,0.3125
full_npt256,fpca256_4,raw256,20,4,0,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,21,4,1,roc_auc,0.16491228070175434
full_npt256,fpca256_4,raw256,21,4,1,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,21,4,1,specificity,-0.15789473684210525
full_npt256,fpca256_4,raw256,22,4,2,roc_auc,-0.05555555555555558
full_npt256,fpca256_4,raw256,22,4,2,sensitivity,0.20000000000000007
full_npt256,fpca256_4,raw256,22,4,2,specificity,-0.5
full_npt256,fpca256_4,raw256,23,4,3,roc_auc,-0.04285714285714293
full_npt256,fpca256_4,raw256,23,4,3,sensitivity,0.2857142857142857
full_npt256,fpca256_4,raw256,23,4,3,specificity,-0.44999999999999996
full_npt256,fpca256_4,raw256,24,4,4,roc_auc,0.1122448979591838
full_npt256,fpca256_4,raw256,24,4,4,sensitivity,0.5714285714285714
full_npt256,fpca256_4,raw256,24,4,4,specificity,-0.38095238095238093
full_npt256,fpca256_4,raw256,25,5,0,roc_auc,-0.050000000000000044
full_npt256,fpca256_4,raw256,25,5,0,sensitivity,0.33333333333333326
full_npt256,fpca256_4,raw256,25,5,0,specificity,-0.49999999999999994
full_npt256,fpca256_4,raw256,26,5,1,roc_auc,0.2705882352941176
full_npt256,fpca256_4,raw256,26,5,1,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,26,5,1,specificity,-0.29411764705882354
full_npt256,fpca256_4,raw256,27,5,2,roc_auc,0.03869047619047622
full_npt256,fpca256_4,raw256,27,5,2,sensitivity,0.25
full_npt256,fpca256_4,raw256,27,5,2,specificity,-0.3333333333333333
full_npt256,fpca256_4,raw256,28,5,3,roc_auc,-0.042857142857142816
full_npt256,fpca256_4,raw256,28,5,3,sensitivity,0.4285714285714286
full_npt256,fpca256_4,raw256,28,5,3,specificity,-0.5
full_npt256,fpca256_4,raw256,29,5,4,roc_auc,-0.06390977443609014
full_npt256,fpca256_4,raw256,29,5,4,sensitivity,0.0
full_npt256,fpca256_4,raw256,29,5,4,specificity,-0.21052631578947367
full_npt256,fpca256_4,raw256,30,6,0,roc_auc,-0.025925925925925908
full_npt256,fpca256_4,raw256,30,6,0,sensitivity,0.4
full_npt256,fpca256_4,raw256,30,6,0,specificity,-0.5555555555555556
full_npt256,fpca256_4,raw256,31,6,1,roc_auc,-0.033333333333333326
full_npt256,fpca256_4,raw256,31,6,1,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,31,6,1,specificity,-0.39999999999999997
full_npt256,fpca256_4,raw256,32,6,2,roc_auc,0.1366666666666666
full_npt256,fpca256_4,raw256,32,6,2,sensitivity,0.13333333333333341
full_npt256,fpca256_4,raw256,32,6,2,specificity,-0.55
full_npt256,fpca256_4,raw256,33,6,3,roc_auc,0.15555555555555556
full_npt256,fpca256_4,raw256,33,6,3,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,33,6,3,specificity,-0.23809523809523808
full_npt256,fpca256_4,raw256,34,6,4,roc_auc,-0.04365079365079372
full_npt256,fpca256_4,raw256,34,6,4,sensitivity,0.5714285714285714
full_npt256,fpca256_4,raw256,34,6,4,specificity,-0.5
full_npt256,fpca256_4,raw256,35,7,0,roc_auc,0.05714285714285716
full_npt256,fpca256_4,raw256,35,7,0,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,35,7,0,specificity,-0.33333333333333337
full_npt256,fpca256_4,raw256,36,7,1,roc_auc,0.018382352941176516
full_npt256,fpca256_4,raw256,36,7,1,sensitivity,0.375
full_npt256,fpca256_4,raw256,36,7,1,specificity,-0.5294117647058824
full_npt256,fpca256_4,raw256,37,7,2,roc_auc,-0.06349206349206349
full_npt256,fpca256_4,raw256,37,7,2,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,37,7,2,specificity,-0.5714285714285714
full_npt256,fpca256_4,raw256,38,7,3,roc_auc,0.11654135338345861
full_npt256,fpca256_4,raw256,38,7,3,sensitivity,0.42857142857142855
full_npt256,fpca256_4,raw256,38,7,3,specificity,-0.5263157894736843
full_npt256,fpca256_4,raw256,39,7,4,roc_auc,0.10526315789473684
full_npt256,fpca256_4,raw256,39,7,4,sensitivity,0.2142857142857142
full_npt256,fpca256_4,raw256,39,7,4,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,40,8,0,roc_auc,-0.04561403508771933
full_npt256,fpca256_4,raw256,40,8,0,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,40,8,0,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,41,8,1,roc_auc,0.2222222222222221
full_npt256,fpca256_4,raw256,41,8,1,sensitivity,0.5625
full_npt256,fpca256_4,raw256,41,8,1,specificity,-0.3333333333333333
full_npt256,fpca256_4,raw256,42,8,2,roc_auc,0.07719298245614037
full_npt256,fpca256_4,raw256,42,8,2,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,42,8,2,specificity,-0.4736842105263158
full_npt256,fpca256_4,raw256,43,8,3,roc_auc,-0.017857142857142905
full_npt256,fpca256_4,raw256,43,8,3,sensitivity,0.3571428571428572
full_npt256,fpca256_4,raw256,43,8,3,specificity,-0.35
full_npt256,fpca256_4,raw256,44,8,4,roc_auc,0.027210884353741527
full_npt256,fpca256_4,raw256,44,8,4,sensitivity,0.0714285714285714
full_npt256,fpca256_4,raw256,44,8,4,specificity,-0.42857142857142855
full_npt256,fpca256_4,raw256,45,9,0,roc_auc,0.059649122807017396
full_npt256,fpca256_4,raw256,45,9,0,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,45,9,0,specificity,-0.3684210526315789
full_npt256,fpca256_4,raw256,46,9,1,roc_auc,0.08000000000000007
full_npt256,fpca256_4,raw256,46,9,1,sensitivity,0.4666666666666667
full_npt256,fpca256_4,raw256,46,9,1,specificity,-0.30000000000000004
full_npt256,fpca256_4,raw256,47,9,2,roc_auc,-0.07719298245614048
full_npt256,fpca256_4,raw256,47,9,2,sensitivity,0.1333333333333333
full_npt256,fpca256_4,raw256,47,9,2,specificity,-0.21052631578947373
full_npt256,fpca256_4,raw256,48,9,3,roc_auc,0.06071428571428583
full_npt256,fpca256_4,raw256,48,9,3,sensitivity,0.4285714285714286
full_npt256,fpca256_4,raw256,48,9,3,specificity,-0.35000000000000003
full_npt256,fpca256_4,raw256,49,9,4,roc_auc,0.1824561403508772
full_npt256,fpca256_4,raw256,49,9,4,sensitivity,0.4
full_npt256,fpca256_4,raw256,49,9,4,specificity,-0.2631578947368421
full_npt256,fpca256_4,raw256,50,10,0,roc_auc,0.09841269841269829
full_npt256,fpca256_4,raw256,50,10,0,sensitivity,0.4666666666666667
full_npt256,fpca256_4,raw256,50,10,0,specificity,-0.47619047619047616
full_npt256,fpca256_4,raw256,51,10,1,roc_auc,0.0
full_npt256,fpca256_4,raw256,51,10,1,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,51,10,1,specificity,-0.42105263157894735
full_npt256,fpca256_4,raw256,52,10,2,roc_auc,-0.04210526315789476
full_npt256,fpca256_4,raw256,52,10,2,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,52,10,2,specificity,-0.42105263157894735
full_npt256,fpca256_4,raw256,53,10,3,roc_auc,-0.10526315789473684
full_npt256,fpca256_4,raw256,53,10,3,sensitivity,0.1428571428571429
full_npt256,fpca256_4,raw256,53,10,3,specificity,-0.42105263157894735
full_npt256,fpca256_4,raw256,54,10,4,roc_auc,0.09824561403508764
full_npt256,fpca256_4,raw256,54,10,4,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,54,10,4,specificity,-0.42105263157894735
full_npt256,fpca256_4,raw256,55,11,0,roc_auc,-0.013333333333333308
full_npt256,fpca256_4,raw256,55,11,0,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,55,11,0,specificity,-0.39999999999999997
full_npt256,fpca256_4,raw256,56,11,1,roc_auc,0.051851851851851816
full_npt256,fpca256_4,raw256,56,11,1,sensitivity,0.5333333333333333
full_npt256,fpca256_4,raw256,56,11,1,specificity,-0.5
full_npt256,fpca256_4,raw256,57,11,2,roc_auc,-0.0035087719298246833
full_npt256,fpca256_4,raw256,57,11,2,sensitivity,0.06666666666666665
full_npt256,fpca256_4,raw256,57,11,2,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,58,11,3,roc_auc,0.11564625850340127
full_npt256,fpca256_4,raw256,58,11,3,sensitivity,0.42857142857142855
full_npt256,fpca256_4,raw256,58,11,3,specificity,-0.4285714285714286
full_npt256,fpca256_4,raw256,59,11,4,roc_auc,0.07017543859649122
full_npt256,fpca256_4,raw256,59,11,4,sensitivity,0.4
full_npt256,fpca256_4,raw256,59,11,4,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,60,12,0,roc_auc,0.00666666666666671
full_npt256,fpca256_4,raw256,60,12,0,sensitivity,0.1333333333333333
full_npt256,fpca256_4,raw256,60,12,0,specificity,-0.30000000000000004
full_npt256,fpca256_4,raw256,61,12,1,roc_auc,0.07037037037037042
full_npt256,fpca256_4,raw256,61,12,1,sensitivity,0.4
full_npt256,fpca256_4,raw256,61,12,1,specificity,-0.6111111111111112
full_npt256,fpca256_4,raw256,62,12,2,roc_auc,0.019607843137255054
full_npt256,fpca256_4,raw256,62,12,2,sensitivity,0.4666666666666667
full_npt256,fpca256_4,raw256,62,12,2,specificity,-0.5294117647058822
full_npt256,fpca256_4,raw256,63,12,3,roc_auc,0.10064935064935066
full_npt256,fpca256_4,raw256,63,12,3,sensitivity,0.3571428571428571
full_npt256,fpca256_4,raw256,63,12,3,specificity,-0.3181818181818182
full_npt256,fpca256_4,raw256,64,12,4,roc_auc,0.08333333333333326
full_npt256,fpca256_4,raw256,64,12,4,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,64,12,4,specificity,-0.2
full_npt256,fpca256_4,raw256,65,13,0,roc_auc,0.1824561403508772
full_npt256,fpca256_4,raw256,65,13,0,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,65,13,0,specificity,-0.21052631578947367
full_npt256,fpca256_4,raw256,66,13,1,roc_auc,-0.15000000000000002
full_npt256,fpca256_4,raw256,66,13,1,sensitivity,0.06666666666666665
full_npt256,fpca256_4,raw256,66,13,1,specificity,-0.29999999999999993
full_npt256,fpca256_4,raw256,67,13,2,roc_auc,0.10763888888888895
full_npt256,fpca256_4,raw256,67,13,2,sensitivity,0.375
full_npt256,fpca256_4,raw256,67,13,2,specificity,-0.38888888888888895
full_npt256,fpca256_4,raw256,68,13,3,roc_auc,-0.010714285714285676
full_npt256,fpca256_4,raw256,68,13,3,sensitivity,0.0714285714285714
full_npt256,fpca256_4,raw256,68,13,3,specificity,-0.15000000000000002
full_npt256,fpca256_4,raw256,69,13,4,roc_auc,-0.0035714285714285587
full_npt256,fpca256_4,raw256,69,13,4,sensitivity,0.2142857142857142
full_npt256,fpca256_4,raw256,69,13,4,specificity,-0.35000000000000003
full_npt256,fpca256_4,raw256,70,14,0,roc_auc,-0.052631578947368474
full_npt256,fpca256_4,raw256,70,14,0,sensitivity,0.0
full_npt256,fpca256_4,raw256,70,14,0,specificity,-0.5263157894736842
full_npt256,fpca256_4,raw256,71,14,1,roc_auc,-0.033333333333333326
full_npt256,fpca256_4,raw256,71,14,1,sensitivity,0.4666666666666667
full_npt256,fpca256_4,raw256,71,14,1,specificity,-0.45
full_npt256,fpca256_4,raw256,72,14,2,roc_auc,0.13333333333333341
full_npt256,fpca256_4,raw256,72,14,2,sensitivity,0.6000000000000001
full_npt256,fpca256_4,raw256,72,14,2,specificity,-0.5263157894736842
full_npt256,fpca256_4,raw256,73,14,3,roc_auc,0.0491228070175439
full_npt256,fpca256_4,raw256,73,14,3,sensitivity,0.4
full_npt256,fpca256_4,raw256,73,14,3,specificity,-0.3157894736842105
full_npt256,fpca256_4,raw256,74,14,4,roc_auc,-0.06071428571428561
full_npt256,fpca256_4,raw256,74,14,4,sensitivity,0.0
full_npt256,fpca256_4,raw256,74,14,4,specificity,-0.45000000000000007
full_npt256,fpca256_4,raw256,75,15,0,roc_auc,0.09523809523809523
full_npt256,fpca256_4,raw256,75,15,0,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,75,15,0,specificity,-0.4761904761904762
full_npt256,fpca256_4,raw256,76,15,1,roc_auc,0.11764705882352944
full_npt256,fpca256_4,raw256,76,15,1,sensitivity,0.2666666666666667
full_npt256,fpca256_4,raw256,76,15,1,specificity,-0.47058823529411764
full_npt256,fpca256_4,raw256,77,15,2,roc_auc,0.1964912280701755
full_npt256,fpca256_4,raw256,77,15,2,sensitivity,0.5333333333333333
full_npt256,fpca256_4,raw256,77,15,2,specificity,-0.2631578947368421
full_npt256,fpca256_4,raw256,78,15,3,roc_auc,0.010714285714285676
full_npt256,fpca256_4,raw256,78,15,3,sensitivity,0.2142857142857142
full_npt256,fpca256_4,raw256,78,15,3,specificity,-0.5
full_npt256,fpca256_4,raw256,79,15,4,roc_auc,0.01666666666666672
full_npt256,fpca256_4,raw256,79,15,4,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,79,15,4,specificity,-0.5
full_npt256,fpca256_4,raw256,80,16,0,roc_auc,0.046666666666666745
full_npt256,fpca256_4,raw256,80,16,0,sensitivity,0.20000000000000007
full_npt256,fpca256_4,raw256,80,16,0,specificity,-0.25
full_npt256,fpca256_4,raw256,81,16,1,roc_auc,0.09333333333333327
full_npt256,fpca256_4,raw256,81,16,1,sensitivity,0.1333333333333333
full_npt256,fpca256_4,raw256,81,16,1,specificity,-0.4
full_npt256,fpca256_4,raw256,82,16,2,roc_auc,0.19999999999999996
full_npt256,fpca256_4,raw256,82,16,2,sensitivity,0.5
full_npt256,fpca256_4,raw256,82,16,2,specificity,-0.3
full_npt256,fpca256_4,raw256,83,16,3,roc_auc,0.08646616541353391
full_npt256,fpca256_4,raw256,83,16,3,sensitivity,0.2857142857142857
full_npt256,fpca256_4,raw256,83,16,3,specificity,-0.15789473684210525
full_npt256,fpca256_4,raw256,84,16,4,roc_auc,-0.011904761904761973
full_npt256,fpca256_4,raw256,84,16,4,sensitivity,0.5714285714285714
full_npt256,fpca256_4,raw256,84,16,4,specificity,-0.611111111111111
full_npt256,fpca256_4,raw256,85,17,0,roc_auc,0.22000000000000008
full_npt256,fpca256_4,raw256,85,17,0,sensitivity,0.5333333333333333
full_npt256,fpca256_4,raw256,85,17,0,specificity,-0.6
full_npt256,fpca256_4,raw256,86,17,1,roc_auc,-0.12941176470588234
full_npt256,fpca256_4,raw256,86,17,1,sensitivity,0.4
full_npt256,fpca256_4,raw256,86,17,1,specificity,-0.2941176470588236
full_npt256,fpca256_4,raw256,87,17,2,roc_auc,0.20000000000000007
full_npt256,fpca256_4,raw256,87,17,2,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,87,17,2,specificity,-0.3888888888888889
full_npt256,fpca256_4,raw256,88,17,3,roc_auc,-0.11278195488721798
full_npt256,fpca256_4,raw256,88,17,3,sensitivity,0.1428571428571429
full_npt256,fpca256_4,raw256,88,17,3,specificity,-0.631578947368421
full_npt256,fpca256_4,raw256,89,17,4,roc_auc,-0.03188405797101457
full_npt256,fpca256_4,raw256,89,17,4,sensitivity,0.19999999999999996
full_npt256,fpca256_4,raw256,89,17,4,specificity,-0.17391304347826086
full_npt256,fpca256_4,raw256,90,18,0,roc_auc,-0.06666666666666665
full_npt256,fpca256_4,raw256,90,18,0,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,90,18,0,specificity,-0.6363636363636364
full_npt256,fpca256_4,raw256,91,18,1,roc_auc,0.11764705882352933
full_npt256,fpca256_4,raw256,91,18,1,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,91,18,1,specificity,-0.3529411764705882
full_npt256,fpca256_4,raw256,92,18,2,roc_auc,-0.007017543859649145
full_npt256,fpca256_4,raw256,92,18,2,sensitivity,0.4
full_npt256,fpca256_4,raw256,92,18,2,specificity,-0.4210526315789474
full_npt256,fpca256_4,raw256,93,18,3,roc_auc,0.05639097744360899
full_npt256,fpca256_4,raw256,93,18,3,sensitivity,0.2142857142857143
full_npt256,fpca256_4,raw256,93,18,3,specificity,-0.31578947368421056
full_npt256,fpca256_4,raw256,94,18,4,roc_auc,-0.06000000000000005
full_npt256,fpca256_4,raw256,94,18,4,sensitivity,0.19999999999999996
full_npt256,fpca256_4,raw256,94,18,4,specificity,-0.4
full_npt256,fpca256_4,raw256,95,19,0,roc_auc,-0.05333333333333323
full_npt256,fpca256_4,raw256,95,19,0,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,95,19,0,specificity,-0.65
full_npt256,fpca256_4,raw256,96,19,1,roc_auc,0.09019607843137256
full_npt256,fpca256_4,raw256,96,19,1,sensitivity,0.33333333333333337
full_npt256,fpca256_4,raw256,96,19,1,specificity,-0.4705882352941176
full_npt256,fpca256_4,raw256,97,19,2,roc_auc,0.028070175438596356
full_npt256,fpca256_4,raw256,97,19,2,sensitivity,0.1333333333333333
full_npt256,fpca256_4,raw256,97,19,2,specificity,-0.368421052631579
full_npt256,fpca256_4,raw256,98,19,3,roc_auc,0.08928571428571419
full_npt256,fpca256_4,raw256,98,19,3,sensitivity,0.2857142857142857
full_npt256,fpca256_4,raw256,98,19,3,specificity,-0.30000000000000004
full_npt256,fpca256_4,raw256,99,19,4,roc_auc,0.050793650793650835
full_npt256,fpca256_4,raw256,99,19,4,sensitivity,0.4666666666666667
full_npt256,fpca256_4,raw256,99,19,4,specificity,-0.5238095238095238
full_npt256,fpca256_5,raw256,0,0,0,roc_auc,-0.019999999999999962
full_npt256,fpca256_5,raw256,0,0,0,sensitivity,0.06666666666666665
full_npt256,fpca256_5,raw256,0,0,0,specificity,-0.4
full_npt256,fpca256_5,raw256,1,0,1,roc_auc,0.09629629629629632
full_npt256,fpca256_5,raw256,1,0,1,sensitivity,0.4
full_npt256,fpca256_5,raw256,1,0,1,specificity,-0.38888888888888895
full_npt256,fpca256_5,raw256,2,0,2,roc_auc,0.033333333333333326
full_npt256,fpca256_5,raw256,2,0,2,sensitivity,0.2666666666666667
full_npt256,fpca256_5,raw256,2,0,2,specificity,-0.5555555555555556
full_npt256,fpca256_5,raw256,3,0,3,roc_auc,-0.062962962962963
full_npt256,fpca256_5,raw256,3,0,3,sensitivity,0.33333333333333337
full_npt256,fpca256_5,raw256,3,0,3,specificity,-0.5555555555555556
full_npt256,fpca256_5,raw256,4,0,4,roc_auc,0.02795031055900621
