variant,npt,splitting,delta_roc_auc_mean,delta_roc_auc_std,fraction_folds_with_higher_roc_auc,delta_sensitivity_mean,delta_specificity_mean,delta_brier_mean
npt100_bbox,100,bbox,0.0,0.0,0.0,0.0,0.0,0.0
npt100_no,100,no,0.0020194308901739237,0.008979770116415806,0.54,-0.002857142857142855,-0.0045054838522330795,-0.00044334636951391394
npt100_full,100,full,-0.0029416615679110202,0.012848008109955835,0.36,-0.0005641025641025577,-0.0020375939849624066,0.0010682177614332914
npt150_bbox,150,bbox,-0.03776918376314661,0.04346166423042281,0.17,-0.07814285714285714,0.06311219447906755,0.025238565544311302
npt200_bbox,200,bbox,-0.04626202824155058,0.0534562254315104,0.16,-0.16873260073260077,0.13293460254915365,0.03463690354887893
npt250_bbox,250,bbox,-0.06253426182970633,0.06107515980495241,0.14,-0.21336630036630036,0.15691212880686567,0.04429920491272048
npt256_bbox,256,bbox,-0.04268107232014796,0.05884699130868913,0.18,-0.24157142857142852,0.21427989537122663,0.03564596737938786
npt512_bbox,512,bbox,-0.042701487737776996,0.07628561892294342,0.27,-0.35482783882783886,0.31856662601244645,0.03628795597626383
npt512_no,512,no,-0.02222593168621475,0.08063298618861368,0.34,-0.38908058608058615,0.36471794236035726,0.022902140332686016
npt512_full,512,full,-0.03708933621949986,0.07749501628176315,0.31,-0.3607399267399268,0.3333912857008831,0.03251005011863704
