variant,npt,splitting,algorithm,implementation,q_step_nm_inv,retained_measurements,common_measurements,retained_patients,median_snr_db,profile_gate_pass_rate
npt50_bbox,50,bbox,csr,cython,0.42000005483627234,897,802,164,34.264203562315664,1.0
npt60_bbox,60,bbox,csr,cython,0.3500000456968948,896,802,164,33.50780550675758,1.0
npt70_bbox,70,bbox,csr,cython,0.3000000391687667,895,802,164,32.87091323864673,1.0
npt80_bbox,80,bbox,csr,cython,0.26250003427267066,896,802,164,32.307061977782375,1.0
npt90_bbox,90,bbox,csr,cython,0.23333336379792868,893,802,164,31.83825904869204,1.0
npt100_bbox,100,bbox,csr,cython,0.21000002741813617,893,802,164,31.407088519202677,1.0
npt100_no,100,no,csr,cython,0.21000002741813617,891,802,164,31.144049201074967,1.0
npt100_full,100,full,csr,cython,0.21000002741813617,893,802,164,31.33264512960399,1.0
npt150_bbox,150,bbox,csr,cython,0.14000001827875863,886,802,164,29.836035973813214,1.0
npt200_bbox,200,bbox,csr,cython,0.10500001370906809,883,802,164,28.746096505477382,1.0
npt250_bbox,250,bbox,csr,cython,0.08400001096725518,877,802,163,27.98053532479557,1.0
npt256_bbox,256,bbox,csr,cython,0.08203126071020961,876,802,163,27.899532207944077,1.0
npt512_bbox,512,bbox,csr,cython,0.041015630355104804,844,802,163,25.979753485212044,1.0
npt512_no,512,no,csr,cython,0.041015630355104804,805,802,161,24.566580103797065,1.0
npt512_full,512,full,csr,cython,0.041015630355104804,838,802,163,25.647320718236323,1.0
