variant,npt,splitting,algorithm,implementation,q_step_nm_inv,retained_measurements,common_measurements,retained_patients,median_snr_db,profile_gate_pass_rate,target_cases,kfold_roc_auc_mean,kfold_roc_auc_std,kfold_pr_auc_mean,kfold_pr_auc_std,kfold_sensitivity_mean,kfold_sensitivity_std,kfold_specificity_mean,kfold_specificity_std,kfold_brier_mean,kfold_log_loss_mean,train_all_threshold,train_all_roc_auc,train_all_pr_auc,train_all_sensitivity,train_all_specificity,train_all_balanced_accuracy,train_all_tp,train_all_tn,train_all_fp,train_all_fn
npt50_bbox,50,bbox,csr,cython,0.42000005483627234,897,802,164,34.264203562315664,1.0,164,0.6780446758247731,0.0794956543215321,0.6223378114067416,0.08844799797816869,0.8681868131868132,0.10569511063876103,0.30761377373916077,0.11834335277740009,0.2336784599941073,0.6740919639842692,0.30842456784264055,0.8130699088145897,0.7240706965006644,0.9571428571428572,0.43617021276595747,0.6966565349544074,67,41,53,3
npt60_bbox,60,bbox,csr,cython,0.3500000456968948,896,802,164,33.50780550675758,1.0,164,0.6984731130451607,0.07883949566186028,0.639045489580394,0.0900733332403663,0.8684761904761905,0.10116535507711927,0.35669734049919816,0.1266737326150806,0.22703375458693809,0.6575181197153708,0.2637729321820447,0.8308510638297872,0.7600934785575577,0.9571428571428572,0.425531914893617,0.6913373860182371,67,40,54,3
npt70_bbox,70,bbox,csr,cython,0.3000000391687667,895,802,164,32.87091323864673,1.0,164,0.686365797613365,0.07617911947834528,0.6366193852378338,0.08670245578017347,0.8512893772893773,0.10167364606248855,0.3808840349536944,0.1229447502561381,0.2329968198566916,0.6733031705659351,0.2894799063876258,0.8427051671732522,0.789313446244099,0.9571428571428572,0.5212765957446809,0.739209726443769,67,49,45,3
npt80_bbox,80,bbox,csr,cython,0.26250003427267066,896,802,164,32.307061977782375,1.0,164,0.674612888265763,0.08097416018676838,0.6340044713623003,0.09045977054504288,0.8397912087912088,0.112901375034335,0.3594606145488499,0.11731656228053243,0.23970247403266767,0.6898280782146187,0.28210558687020654,0.8515197568389058,0.813366997597275,0.9571428571428572,0.5319148936170213,0.7445288753799393,67,50,44,3
npt90_bbox,90,bbox,csr,cython,0.23333336379792868,893,802,164,31.83825904869204,1.0,164,0.6614277596017756,0.07914083065221161,0.6133235235550284,0.08605686585794867,0.8077692307692308,0.11965281273896175,0.3947725083653876,0.12017510159142106,0.24709359897972516,0.7141418607973875,0.2965900638766624,0.8623100303951368,0.8179494444755792,0.9571428571428572,0.5106382978723404,0.7338905775075988,67,48,46,3
npt100_bbox,100,bbox,csr,cython,0.21000002741813617,893,802,164,31.407088519202677,1.0,164,0.679141199186909,0.07591276290665785,0.6231821443502877,0.0880620318171527,0.8261904761904763,0.11056869238814732,0.39966483499300837,0.12033234259599797,0.24072476204075147,0.7042560292980192,0.3085578913448472,0.875531914893617,0.8319332884252685,0.9571428571428572,0.5638297872340425,0.7604863221884499,67,53,41,3
npt100_no,100,no,csr,cython,0.21000002741813617,891,802,164,31.144049201074967,1.0,164,0.681160630077083,0.07628782906480525,0.6248437077768544,0.08773338906721688,0.8233333333333335,0.11690714200080478,0.3951593511407753,0.12473565758925237,0.24028141567123756,0.7052308292678136,0.3275429565578394,0.876595744680851,0.8340102726000976,0.9571428571428572,0.574468085106383,0.76580547112462,67,54,40,3
npt100_full,100,full,csr,cython,0.21000002741813617,893,802,164,31.33264512960399,1.0,164,0.6761995376189981,0.07708756395259649,0.6183753029565314,0.0877552913010314,0.8256263736263737,0.1135170558372007,0.39762724100804614,0.1260062195739145,0.24179297980218478,0.7087581511194014,0.30045773530902675,0.8770516717325229,0.832066852016214,0.9571428571428572,0.5531914893617021,0.7551671732522797,67,52,42,3
npt150_bbox,150,bbox,csr,cython,0.14000001827875863,886,802,164,29.836035973813214,1.0,164,0.6413720154237624,0.07688503331626462,0.5941804850616742,0.0849054873128248,0.7480476190476192,0.12100235759277628,0.46277702947207594,0.11510890415668068,0.2659633275850628,0.7782781421571211,0.2268351552673591,0.9202127659574468,0.9017774251268957,0.9857142857142858,0.574468085106383,0.7800911854103344,69,54,40,1
npt200_bbox,200,bbox,csr,cython,0.10500001370906809,883,802,164,28.746096505477382,1.0,164,0.6328791709453586,0.08313743623424742,0.5865714270541929,0.08523276379555503,0.6574578754578755,0.13552013637181315,0.532599437542162,0.1055061553971636,0.2753616655896305,0.8228387172201799,0.32206209846917044,0.9554711246200608,0.9447589174570461,0.9571428571428572,0.7127659574468085,0.8349544072948328,67,67,27,3
