variant,npt,splitting,algorithm,implementation,q_step_nm_inv,retained_measurements,common_measurements,retained_patients,median_snr_db,profile_gate_pass_rate,target_cases,kfold_roc_auc_mean,kfold_roc_auc_std,kfold_pr_auc_mean,kfold_pr_auc_std,kfold_sensitivity_mean,kfold_sensitivity_std,kfold_specificity_mean,kfold_specificity_std,kfold_brier_mean,kfold_log_loss_mean,train_all_threshold,train_all_roc_auc,train_all_pr_auc,train_all_sensitivity,train_all_specificity,train_all_balanced_accuracy,train_all_tp,train_all_tn,train_all_fp,train_all_fn
npt50_bbox,50,bbox,csr,cython,0.42000005483627234,897,802,164,34.264203562315664,1.0,175,0.6545525023687443,0.07286858283841777,0.6006556471667586,0.0801576838457757,0.8499166666666667,0.10325262304981248,0.31376976153473657,0.09868918518206084,0.24156240782379754,0.68868046134069,0.31366968510548304,0.7913343965975544,0.7153152129646808,0.9605263157894737,0.3838383838383838,0.6721823498139288,73,38,61,3
npt60_bbox,60,bbox,csr,cython,0.3500000456968948,896,802,164,33.50780550675758,1.0,175,0.6466775653507364,0.07471937664351185,0.6066749962052215,0.08815783766327168,0.8439583333333331,0.09525071995936715,0.29524739180742676,0.09998465742828223,0.24569204158906557,0.69954269036372,0.2732650591031889,0.7945241892610313,0.7456196974167592,0.9605263157894737,0.2727272727272727,0.6166267942583732,73,27,72,3
npt70_bbox,70,bbox,csr,cython,0.3000000391687667,895,802,164,32.87091323864673,1.0,175,0.6673674211778995,0.07248014342094482,0.6263541261189498,0.0852629387134773,0.8186249999999999,0.10026952393701467,0.4000390573814992,0.11624119055200847,0.2416235466281791,0.6886635448228511,0.250873985500391,0.8339978734715576,0.7983475485132502,0.9736842105263158,0.3838383838383838,0.6787612971823498,74,38,61,2
npt80_bbox,80,bbox,csr,cython,0.26250003427267066,896,802,164,32.307061977782375,1.0,175,0.6587757436504408,0.07146770639998913,0.6163532573576387,0.08293922206694017,0.8183333333333332,0.10191567865424613,0.3782075861202258,0.11486086278835377,0.24591071910433823,0.7005011907227754,0.23276833944215877,0.8504784688995215,0.8184742649156965,0.9605263157894737,0.37373737373737376,0.6671318447634237,73,37,62,3
npt90_bbox,90,bbox,csr,cython,0.23333336379792868,893,802,164,31.83825904869204,1.0,175,0.6357132404649214,0.07450144164648283,0.5873581883364869,0.08685388196278318,0.8031666666666666,0.10749050345650699,0.379244526490993,0.11187751228639657,0.25814846060372676,0.7376178226366652,0.22573996464939824,0.8482190324295587,0.8153393898482038,0.9736842105263158,0.36363636363636365,0.6686602870813397,74,36,63,2
npt100_bbox,100,bbox,csr,cython,0.21000002741813617,893,802,164,31.407088519202677,1.0,175,0.6454142949875786,0.06873837519114219,0.6047721823168924,0.08539004030438091,0.8175,0.09901774532319392,0.37630084054979734,0.13253952759316306,0.2551927961390582,0.732094577802143,0.24665932038818544,0.8649654439128124,0.847242209640579,0.9605263157894737,0.494949494949495,0.7277379053694844,73,49,50,3
npt100_no,100,no,csr,cython,0.21000002741813617,891,802,164,31.144049201074967,1.0,175,0.6455907066938835,0.0696097270131914,0.6049550322531752,0.08455104438741175,0.8155416666666666,0.1058002819125629,0.37977255595393977,0.1362161083616528,0.2552323538424641,0.7339418329426057,0.24555627603044627,0.8684210526315789,0.8508650049395136,0.9605263157894737,0.5050505050505051,0.7327884104199893,73,50,49,3
npt100_full,100,full,csr,cython,0.21000002741813617,893,802,164,31.33264512960399,1.0,175,0.6396371871020325,0.07004909776130216,0.5978962604333441,0.0847922546647258,0.8149166666666666,0.10526121608223571,0.3670029688458144,0.1343503238608909,0.2576459081067288,0.7419902941907067,0.20704882220352158,0.8706804891015418,0.8540061570686693,0.9605263157894737,0.37373737373737376,0.6671318447634237,73,37,62,3
npt150_bbox,150,bbox,csr,cython,0.14000001827875863,886,802,164,29.836035973813214,1.0,173,0.6312987346746247,0.08103708728918238,0.6103332990427307,0.08416183899208787,0.6954166666666666,0.12059531154512877,0.4845879962830427,0.12408168280157131,0.2690080672273514,0.7784482794935589,0.32092467514316125,0.9260716223548562,0.9185515019448536,0.9605263157894737,0.6701030927835051,0.8153147042864894,73,65,32,3
npt200_bbox,200,bbox,csr,cython,0.10500001370906809,883,802,164,28.746096505477382,1.0,172,0.6233536808343753,0.08351922084179583,0.5886609876847243,0.09296824234213807,0.6827678571428573,0.12846083137281755,0.5132260665031563,0.11845563433324283,0.2751654078717115,0.8136648048343865,0.29679770541521916,0.9490034364261168,0.9467626257477741,0.96,0.7010309278350515,0.8305154639175257,72,68,29,3
