model_name,ablation,split_id,threshold_provenance,threshold_sample_count,threshold_cancer_cases,threshold_benign_cases,test_patients,test_target_cases,test_cancer_cases,test_benign_cases,lr1_c,current_lr2_c,threshold_youden,threshold_target,target_sensitivity,target_reached,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,true_positives,true_negatives,false_positives,false_negatives,profile_c,age_c,symmetry_c
current_product_exact_legacy,current_product_exact_legacy,0,legacy_outer_train_fitted_lr1_fitted_lr2_scores,142,61,81,33,33,15,18,0.1,0.3,0.5170614772596358,0.31875684740293947,0.95,True,0.6407407407407407,0.6751999229177088,0.7333333333333333,0.3888888888888889,0.5611111111111111,0.5,0.6363636363636364,0.25130624075585234,0.7586759203132515,-0.14817349261719243,0.3214860007732166,11,7,11,4,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,0,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,142,61,81,33,33,15,18,0.1,0.3,0.4511448669289732,0.30267585267337516,0.95,True,0.6481481481481481,0.7216674991674992,0.8,0.16666666666666666,0.48333333333333334,0.4444444444444444,0.5,0.23157570532720392,0.6558073816944674,-0.1639534604080963,0.7645080733332263,12,3,15,3,,,
recalibrated_joint_additive,calibrated_profile,0,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.4640174971784168,0.29776023128217455,0.95,True,0.625925925925926,0.6691457289986701,0.9333333333333333,0.0,0.4666666666666667,0.4375,0.0,0.24199965961330883,0.6787946846275204,0.11968598081126663,1.069525712008749,14,0,18,1,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,0,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.46729376072020684,0.20551852438124837,0.95,True,0.6518518518518519,0.6893737120914979,0.8666666666666667,0.0,0.43333333333333335,0.41935483870967744,0.0,0.22488228495701304,0.6528259442232613,0.05871182531056126,0.7158255873260501,13,0,18,2,0.1,1.0,0.1
recalibrated_joint_additive,profile_symmetry,0,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.4574937177339244,0.29755929833872247,0.95,True,0.6148148148148147,0.6647758187157163,0.9333333333333333,0.0,0.4666666666666667,0.4375,0.0,0.2423437164235064,0.6794850886269792,0.10893672760281653,1.033813013932064,14,0,18,1,0.1,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,0,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.47834471106535764,0.20663733302670123,0.95,True,0.6481481481481481,0.6865165692343551,0.8666666666666667,0.05555555555555555,0.46111111111111114,0.43333333333333335,0.3333333333333333,0.2249923683923254,0.6529195024687536,0.05822291357466749,0.7156278700532788,13,1,17,2,0.1,1.0,0.001
current_product_exact_legacy,current_product_exact_legacy,1,legacy_outer_train_fitted_lr1_fitted_lr2_scores,140,61,79,33,35,15,20,0.1,0.3,0.4141938848236697,0.3054884930730074,0.95,True,0.7233333333333334,0.6618597482892812,0.8666666666666667,0.5,0.6833333333333333,0.5652173913043478,0.8333333333333334,0.22845368532663282,0.657982727912864,-0.30004818084291696,0.5114295036004233,13,10,10,2,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,1,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,140,61,79,33,35,15,20,0.1,0.3,0.4733941503220161,0.2624589774813728,0.95,True,0.7633333333333333,0.6170378085767102,1.0,0.2,0.6,0.4838709677419355,1.0,0.20638046304163526,0.610146868748643,-0.5898147223538232,1.2000875279953187,15,4,16,0,,,
recalibrated_joint_additive,calibrated_profile,1,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.4339622415605507,0.33414516134452776,0.95,True,0.6533333333333333,0.6002615347301254,1.0,0.0,0.5,0.42857142857142855,,0.23681770619754852,0.6663148953896811,0.9359348673181225,5.08651928575812,15,0,20,0,3.0,0.1,0.1
recalibrated_joint_additive,profile_age,1,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.3788123484278816,0.2408515997911213,0.95,True,0.7466666666666667,0.6237124860950409,1.0,0.2,0.6,0.4838709677419355,1.0,0.20514351070852355,0.5997701176222385,-0.30408175300078144,1.1556899837333212,15,4,16,0,3.0,3.0,0.1
