split_id,model_name,ablation,delta_roc_auc,delta_pr_auc,delta_brier_score,delta_log_loss,delta_sensitivity,delta_specificity,delta_balanced_accuracy
0,current_architecture_oof_retrained,current_architecture_oof_retrained,0.007407407407407418,0.046467576249790365,-0.019730535428648416,-0.10286853861878409,0.06666666666666676,-0.22222222222222224,-0.07777777777777778
1,current_architecture_oof_retrained,current_architecture_oof_retrained,0.039999999999999925,-0.04482193971257098,-0.022073222284997557,-0.04783585916422106,0.1333333333333333,-0.3,-0.08333333333333337
2,current_architecture_oof_retrained,current_architecture_oof_retrained,0.031746031746031744,-0.0018054475849595963,-0.02280199074638814,-0.05819317513087863,0.0,0.14285714285714285,0.0714285714285714
3,current_architecture_oof_retrained,current_architecture_oof_retrained,0.04276315789473695,-0.0015056651121637676,-0.04385340849701155,-0.1112473497968206,0.0625,-0.05263157894736842,0.004934210526315819
4,current_architecture_oof_retrained,current_architecture_oof_retrained,0.05396825396825389,0.08908670990849993,-0.05347536385365356,-0.1526754179220986,0.20000000000000007,-0.23809523809523814,-0.01904761904761909
5,current_architecture_oof_retrained,current_architecture_oof_retrained,0.1393939393939393,0.125170876020194,-0.07919825244881398,-0.2369971885577984,0.19999999999999996,-0.13636363636363635,0.03181818181818186
6,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.00328947368421062,0.05976190597901132,-0.02125096923540229,-0.06727778672138418,0.0,-0.10526315789473684,-0.05263157894736836
7,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.15333333333333343,-0.14320132050311318,0.05105921524330795,0.11291524956728272,0.1333333333333333,-0.4,-0.1333333333333333
8,current_architecture_oof_retrained,current_architecture_oof_retrained,0.06666666666666665,0.004555755972422637,-0.03282984487696161,-0.08192070830353171,0.1333333333333333,-0.05000000000000002,0.04166666666666663
9,current_architecture_oof_retrained,current_architecture_oof_retrained,0.08888888888888902,0.032668048560870355,-0.02712446874412136,-0.0679280038787008,0.4,-0.5555555555555556,-0.07777777777777772
10,current_architecture_oof_retrained,current_architecture_oof_retrained,0.025396825396825418,-0.019294107294956175,-0.007645675411802333,-0.02467237603659156,0.1333333333333333,0.0,0.06666666666666665
11,current_architecture_oof_retrained,current_architecture_oof_retrained,0.03809523809523818,0.005864827140590001,-0.03370581443666007,-0.10522708603072584,0.20000000000000007,-0.047619047619047616,0.07619047619047625
12,current_architecture_oof_retrained,current_architecture_oof_retrained,0.10526315789473695,0.11095409674293666,-0.034898852464365276,-0.0924365423572725,0.1875,-0.2631578947368421,-0.03782894736842102
13,current_architecture_oof_retrained,current_architecture_oof_retrained,0.033333333333333326,-0.023943870373042908,-0.029278526590457127,-0.07968992565082966,0.1333333333333333,-0.050000000000000044,0.04166666666666652
14,current_architecture_oof_retrained,current_architecture_oof_retrained,0.0444444444444444,0.06811661244030198,-0.0069512114787090296,-0.007251486504695204,0.06666666666666665,-0.1111111111111111,-0.022222222222222143
15,current_architecture_oof_retrained,current_architecture_oof_retrained,0.1266666666666666,0.1536285168669736,-0.05432700344756891,-0.14154071048891181,0.19999999999999996,-0.4,-0.09999999999999998
16,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.2433333333333333,-0.23423827906330041,0.06561987574356642,0.12571108258825758,-0.13333333333333341,-0.35000000000000003,-0.2416666666666667
17,current_architecture_oof_retrained,current_architecture_oof_retrained,0.049342105263157965,-0.05662806773849072,-0.05763444487142741,-0.1396498496296591,0.3125,-0.10526315789473684,0.10361842105263153
18,current_architecture_oof_retrained,current_architecture_oof_retrained,0.06000000000000005,-0.017788094968401835,-0.025402908709284938,-0.04941458851273173,0.0,-0.04999999999999999,-0.025000000000000022
19,current_architecture_oof_retrained,current_architecture_oof_retrained,0.12,0.08411724937360132,-0.054368356989850486,-0.15761331363908648,0.2666666666666667,-0.35,-0.04166666666666663
20,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.14035087719298245,-0.16981594479032802,0.05650499295481204,0.10112335545826168,-0.06666666666666676,-0.15789473684210525,-0.11228070175438598
21,current_architecture_oof_retrained,current_architecture_oof_retrained,0.08571428571428563,0.1292409675409213,-0.031085539600371248,-0.09393484201114488,0.2666666666666667,-0.23809523809523808,0.014285714285714346
22,current_architecture_oof_retrained,current_architecture_oof_retrained,0.13194444444444442,0.2229311053082338,-0.051564552167146144,-0.13620928444792402,0.0625,-0.11111111111111116,-0.02430555555555558
23,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.046666666666666634,-0.10180614110474262,0.003477961120794598,0.016973315811057432,0.19999999999999996,-0.3,-0.04999999999999993
24,current_architecture_oof_retrained,current_architecture_oof_retrained,0.1428571428571428,0.18646034800147882,-0.03674766080171085,-0.07656859731409338,0.06666666666666665,-0.19047619047619047,-0.06190476190476191
25,current_architecture_oof_retrained,current_architecture_oof_retrained,0.025925925925925908,-0.0435557911993919,-0.003973651248636023,-0.011375710404014971,0.1333333333333333,-0.5,-0.18333333333333335
26,current_architecture_oof_retrained,current_architecture_oof_retrained,0.003030303030303161,-0.03573509823509824,-0.016231290122900255,-0.046336640024941644,0.1333333333333333,-0.45454545454545453,-0.16060606060606064
27,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.08333333333333326,-0.07347947935579602,0.026683330626421115,0.057724424126728624,0.125,-0.23809523809523808,-0.05654761904761907
28,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.11851851851851847,-0.11076904999206927,0.016838791898099614,0.023762327902353775,0.06666666666666665,-0.11111111111111113,-0.022222222222222143
29,current_architecture_oof_retrained,current_architecture_oof_retrained,0.19333333333333313,0.2876151812380465,-0.10885091264420246,-0.28438125790239377,0.33333333333333337,-0.25,0.04166666666666663
30,current_architecture_oof_retrained,current_architecture_oof_retrained,0.050000000000000044,0.05670887391475632,-0.023785115338009727,-0.08739141348480761,0.06666666666666665,-0.09999999999999998,-0.01666666666666672
31,current_architecture_oof_retrained,current_architecture_oof_retrained,0.1166666666666667,0.06542658101812349,-0.059334787093262176,-0.1398995102548839,0.20000000000000007,0.04999999999999999,0.125
32,current_architecture_oof_retrained,current_architecture_oof_retrained,0.07272727272727286,0.01991355122727667,-0.042230535995338714,-0.09194322529319987,0.2666666666666667,-0.27272727272727276,-0.00303030303030305
33,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.03157894736842104,0.09469189189138028,0.02546837920137629,0.050852983878582725,0.06666666666666665,-0.10526315789473684,-0.019298245614035148
34,current_architecture_oof_retrained,current_architecture_oof_retrained,0.0625,0.07806871372315977,-0.03433479181684776,-0.0986839733989816,0.0625,-0.05555555555555555,0.00347222222222221
35,current_architecture_oof_retrained,current_architecture_oof_retrained,0.04375000000000007,-0.012948862485408386,-0.03701657666438002,-0.083693011365226,0.125,0.0,0.0625
36,current_architecture_oof_retrained,current_architecture_oof_retrained,0.13636363636363635,0.1836915446120927,-0.062418101290809325,-0.16704359553420955,0.1333333333333333,-0.18181818181818182,-0.024242424242424176
37,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.030000000000000027,-0.09084345008205397,0.009678545129404914,0.0031814357855096675,0.2666666666666667,-0.45,-0.09166666666666667
38,current_architecture_oof_retrained,current_architecture_oof_retrained,0.11481481481481481,0.06534457504798663,-0.0792539329410358,-0.20833612074331342,0.19999999999999996,-0.05555555555555558,0.07222222222222219
39,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.01754385964912275,-0.029078110705561544,-0.015233293028336176,-0.07178613328736327,0.06666666666666665,-0.10526315789473684,-0.019298245614035037
40,current_architecture_oof_retrained,current_architecture_oof_retrained,-0.05714285714285716,0.04119957361005955,0.01502460065256675,0.027177610997929813,0.19999999999999996,-0.47619047619047616,-0.13809523809523805
41,current_architecture_oof_retrained,current_architecture_oof_retrained,0.00952380952380949,-0.027147252552418344,-0.011829421316832706,-0.03900409927295534,0.0,0.0,0.0
42,current_architecture_oof_retrained,current_architecture_oof_retrained,0.03157894736842104,-0.014888012266753292,-0.003347113253177797,-0.013317329471524642,0.20000000000000007,-0.26315789473684215,-0.03157894736842104
43,current_architecture_oof_retrained,current_architecture_oof_retrained,0.010526315789473606,0.02965727414486352,-0.019467954978285962,-0.13443209797107158,0.0,-0.10526315789473684,-0.05263157894736836
44,current_architecture_oof_retrained,current_architecture_oof_retrained,0.15131578947368418,0.17469317954570585,-0.09878137981064683,-0.2675820930818029,0.25,-0.2631578947368421,-0.006578947368421018
45,current_architecture_oof_retrained,current_architecture_oof_retrained,0.10158730158730156,0.13075585751423824,-0.05098471848177957,-0.1644707039399017,0.06666666666666665,-0.047619047619047616,0.00952380952380949
46,current_architecture_oof_retrained,current_architecture_oof_retrained,0.13333333333333341,0.17627912777362315,-0.05874723704041501,-0.15589374522768373,0.06666666666666665,-0.30000000000000004,-0.1166666666666667
47,current_architecture_oof_retrained,current_architecture_oof_retrained,0.09210526315789469,0.05776748340802573,-0.04653509626389732,-0.11241696288340264,0.1875,-0.10526315789473689,0.041118421052631526
48,current_architecture_oof_retrained,current_architecture_oof_retrained,0.024561403508771895,0.052361083128780184,-0.04381792147151875,-0.14372204097411256,0.33333333333333337,-0.3157894736842105,0.00877192982456143
49,current_architecture_oof_retrained,current_architecture_oof_retrained,0.006666666666666599,-0.10789549432392476,-0.028537327059911605,-0.08146313345524003,0.06666666666666665,-0.15000000000000002,-0.04166666666666663
0,recalibrated_joint_additive,calibrated_profile,-0.014814814814814725,-0.0060541939190387195,-0.009306581142543513,-0.07988123568573113,0.20000000000000007,-0.3888888888888889,-0.09444444444444444
1,recalibrated_joint_additive,calibrated_profile,-0.07000000000000006,-0.061598213559155734,0.0083640208709157,0.008332167476817087,0.1333333333333333,-0.5,-0.18333333333333335
2,recalibrated_joint_additive,calibrated_profile,-0.06666666666666665,-0.10749273616256538,-0.008181508314523356,-0.024148315873892656,0.1333333333333333,-0.14285714285714285,-0.004761904761904745
3,recalibrated_joint_additive,calibrated_profile,-0.09210526315789469,-0.11333873388888249,-0.015032941472371025,-0.04581054394221917,0.0625,-0.21052631578947367,-0.07401315789473684
4,recalibrated_joint_additive,calibrated_profile,-0.07301587301587309,-0.06141450661751541,-0.027895769946806925,-0.09707523220153036,0.2666666666666667,-0.33333333333333337,-0.033333333333333326
5,recalibrated_joint_additive,calibrated_profile,-0.06060606060606066,-0.03321156087460431,-0.0357781716829354,-0.14266460091351696,0.06666666666666665,-0.2727272727272727,-0.10303030303030303
6,recalibrated_joint_additive,calibrated_profile,-0.05921052631578949,-0.035459623047033095,-0.0012731502287768592,-0.018118825734144584,0.0,-0.2631578947368421,-0.13157894736842102
7,recalibrated_joint_additive,calibrated_profile,-0.029999999999999916,-0.05283470368122778,0.03335842520163679,0.07888088345577404,0.1333333333333333,-0.2,-0.033333333333333326
8,recalibrated_joint_additive,calibrated_profile,-0.036666666666666514,-0.044763031449305934,-0.02452136293602783,-0.06428035468194226,0.1333333333333333,-0.2,-0.033333333333333326
9,recalibrated_joint_additive,calibrated_profile,-0.0703703703703703,-0.09145223371008271,-0.014819726848938508,-0.06239999706224486,0.4,-0.38888888888888895,0.005555555555555536
10,recalibrated_joint_additive,calibrated_profile,-0.0031746031746031633,-0.03178857193163598,-0.012827963200999215,-0.036205761700410455,0.1333333333333333,-0.047619047619047616,0.042857142857142816
11,recalibrated_joint_additive,calibrated_profile,-0.03174603174603163,0.01876745674701552,-0.026974484733138432,-0.09071749733474666,0.20000000000000007,-0.19047619047619047,0.004761904761904856
12,recalibrated_joint_additive,calibrated_profile,-0.046052631578947234,-0.09542387736136837,0.012155745273662977,0.009426447226333456,0.1875,-0.3157894736842105,-0.06414473684210531
13,recalibrated_joint_additive,calibrated_profile,-0.036666666666666625,-0.06773583835909192,-0.007757725866339382,-0.018818368614027414,0.06666666666666665,-0.30000000000000004,-0.11666666666666675
14,recalibrated_joint_additive,calibrated_profile,-0.05555555555555558,-0.08255915095159949,0.006265234494020472,0.010323853017471851,0.06666666666666665,-0.2222222222222222,-0.07777777777777772
15,recalibrated_joint_additive,calibrated_profile,-0.09999999999999998,-0.06101892394384656,-0.009896303067279955,-0.0480676438286155,0.19999999999999996,-0.35,-0.07500000000000007
