metric,all_geometric_mean_ratio,all_paired_t_p,all_wilcoxon_p,benign_geometric_mean_ratio,benign_paired_t_p,benign_wilcoxon_p,cancer_geometric_mean_ratio,cancer_paired_t_p,cancer_wilcoxon_p,diagnosis_mann_whitney_p,all_paired_t_p_fdr_bh,benign_paired_t_p_fdr_bh,cancer_paired_t_p_fdr_bh,diagnosis_mann_whitney_p_fdr_bh
mean_pairwise_mse_q7_23,0.8815637318685364,0.25983398886518244,0.37784246653269116,0.7936525172330722,0.15422395871345781,0.2664585663989072,0.9968375451965912,0.9834852603073005,0.9682227264717032,0.4918761565395313,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_mse_q7_15,0.8923402335465013,0.32252347225400524,0.24679738678843677,0.8768049490364345,0.4368341522064413,0.39429991505595086,0.9108632702146009,0.5475701505579397,0.4544248057492356,0.7898427025250878,0.3394082725669903,0.43683415220644134,0.9836267932475597,0.8028330012562068
mean_pairwise_mse_q15_23,0.8697216971608491,0.2574140084165895,0.2631005652880887,0.7560888781183918,0.11180802118943858,0.1381164050506889,1.0245037533426165,0.8882129746599712,0.975281760446043,0.33591952812666537,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_rms_full,0.9441145459096802,0.25340714104862816,0.3498383244400468,0.8977361089771696,0.1386030883215159,0.20319205622070058,1.0014181892114076,0.9836267932475597,0.9823427309666577,0.41749988307154173,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_rms_q7_23,0.9367182010465791,0.22321391483885347,0.3498383244400468,0.8901600424951629,0.1342032493457195,0.22650532694269931,0.9942820322578568,0.9378903803400052,0.9118863171720948,0.46746874844843556,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_rms_q7_15,0.9414436949799831,0.2727441362088834,0.2184264947567175,0.9331680589247124,0.3921000020501453,0.40212998739522454,0.951217817495844,0.4998831423172836,0.42303022727716066,0.8028330012562068,0.3333539442553019,0.4313100022551598,0.9836267932475597,0.8028330012562068
mean_pairwise_rms_q15_23,0.9356494314495278,0.25919204572173327,0.258368458806172,0.8720548019032228,0.10236343869023701,0.1344286216967179,1.0159528782320315,0.8482537398249618,0.975281760446043,0.31928706429875287,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
median_pairwise_rms_q7_23,0.9473919948656294,0.3394082725669903,0.31640104325413054,0.8819950727530362,0.11600745481506028,0.1556827180866832,1.0300734782282026,0.711179674208897,0.975281760446043,0.2606003368587003,0.3394082725669903,0.18849594953867066,0.9836267932475597,0.6011819691038717
rms_about_breast_mean_q7_23,0.9389162539164687,0.2598339888651793,0.37784246653269116,0.8908717737323764,0.15422395871345654,0.2664585663989072,0.9984175204775756,0.9834852603072949,0.9682227264717032,0.4918761565395313,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_cosine_q7_23,0.8398774508983414,0.1146533424624507,0.16206254270923592,0.7196080529686415,0.041628078170143246,0.060729185298706786,1.0063140773537604,0.9661900016674234,0.989405085059867,0.16836973143498002,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
mean_pairwise_wasserstein_q7_23,0.8839202019529202,0.12219184709827403,0.19631573658385992,0.8230267609465703,0.07265053846158578,0.1536509948592527,0.9608955045377224,0.7375168562004993,0.7465998895420451,0.4606205564736907,0.3333539442553019,0.18849594953867066,0.9836267932475597,0.6011819691038717
