metric,all_geometric_mean_ratio,all_paired_t_p,all_wilcoxon_p,benign_geometric_mean_ratio,benign_paired_t_p,benign_wilcoxon_p,cancer_geometric_mean_ratio,cancer_paired_t_p,cancer_wilcoxon_p,diagnosis_mann_whitney_p,all_paired_t_p_fdr_bh,benign_paired_t_p_fdr_bh,cancer_paired_t_p_fdr_bh,diagnosis_mann_whitney_p_fdr_bh
mean_pairwise_mse_q7_23,0.8912413472004127,0.27432417132611847,0.38672369023994724,0.8062838964309548,0.16085243398058593,0.2776649069134829,1.001737404348312,0.9902949998684274,0.9120730845618369,0.49978003016501726,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_mse_q7_15,0.86944712941914,0.19671211766176594,0.14037908831701348,0.8418965321345405,0.28164955500624145,0.2525814616813242,0.9027310450356467,0.47965672602958326,0.3385630201651162,0.7243913973715248,0.3812138703222704,0.28164955500624145,0.9902949998684274,0.7384434433715904
mean_pairwise_mse_q15_23,0.8992987267212108,0.3812138703222704,0.26320142329309204,0.7874267538286069,0.15511102228478135,0.17548757225962486,1.0500583335625469,0.7812348873615984,0.8252107174911253,0.4395762762042493,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_rms_full,0.948790029247697,0.2709059490597689,0.3666568616083904,0.9040353506216273,0.14799725451731935,0.2179922539200303,1.003811717526183,0.9529327360017679,0.9647691997243222,0.4071323210557516,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_rms_q7_23,0.9413187976573721,0.23255990605353033,0.36296791000145767,0.8971506824769718,0.14212112271053795,0.2336853206420606,0.9956039880633024,0.9487297164595794,0.8945818202773307,0.4705789726812937,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_rms_q7_15,0.9291755638552236,0.1591564140820977,0.11649607803882901,0.9143785453661333,0.24448543186878807,0.2574674238002135,0.9467416667326666,0.4328570746325298,0.2992765621651011,0.7384434433715905,0.3812138703222704,0.26893397505566685,0.9902949998684274,0.7384434433715904
mean_pairwise_rms_q15_23,0.9504279260518126,0.38104535744368473,0.25535193967222825,0.8895350297441875,0.14578755017483996,0.16995860691073372,1.0267577999734478,0.7538260251136008,0.8597609516621914,0.41510651968464685,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
median_pairwise_rms_q7_23,0.9476830592509076,0.31526562215123294,0.28879710787967616,0.8849712443813756,0.10726640398833442,0.1508001753526651,1.0264853013404056,0.7282407310594431,0.9941263436743275,0.2714109664441624,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
rms_about_breast_mean_q7_23,0.9482433323987767,0.31351214248315235,0.45082691363370375,0.8997801593458962,0.16827921462866793,0.3127341815191561,1.008092569460563,0.9105384973956194,0.9882530056508173,0.5391333779070879,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_cosine_q7_23,0.8527406472390298,0.12311481987007607,0.17366541619779519,0.7459306064189121,0.04730827546650477,0.08271031828644705,0.9968318951250761,0.9823508305412012,0.9004069764006799,0.21847882595824086,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
mean_pairwise_wasserstein_q7_23,0.9064746827133664,0.18888484788792298,0.2898546910513943,0.8556911892166863,0.12052070966463452,0.2574674238002135,0.9695437273548732,0.7840929974375441,0.7966723255593808,0.5360519681088594,0.3812138703222704,0.20567459565726082,0.9902949998684274,0.6589407952197741
